city,contribution amount,degree level,division professional school,facility code,number of students,state,campus,date agreement received,year of yr participation
Gainesville,2500,Undergraduate,All,31818110,999999,FL,,,
Duluth,2500,Undergraduate,All,31802411,999999,GA,,,
Jacksonville,2500,Undergraduate,All,31818310,999999,FL,Jacksonville Center,,2019/2020
Lakeland,2500,Undergraduate,All,31818810,999999,FL,Lakeland,,2019/2020
Madison,2500,Undergraduate,All,31818710,999999,FL,Madison,,2019/2020
Ocala,2500,Undergraduate,All,31807910,999999,FL,Ocala Center,,2019/2020
San Diego,2500,Undergraduate,All,31013705,999999,CA,San Diego,,2019/2020
Tallahassee,2500,Undergraduate,All,31807310,999999,FL,Tallahassee Center,,2019/2020
Pleasantville,99999,Undergrad/Graduate/Doctoral,All,31874832,99999,NY,Pleasantville,01/05/2019,2019/2020
Cambridge,20000,Graduate,Systems Design Management,31003321,1,MA,NULL,05/06/2019,2019/2020
Omaha,5000,Professional,Pharmacy & Health Professions,31800127,12,NE,NULL,06/05/2019,2019/2020
Winston-Salem,99999,Graduate,Graduate School of Arts & Sciences,31815033,50,NC,NULL,06/04/2019,2019/2020
Winston-Salem,5000,Graduate,Divinity,31815033,99999,NC,NULL,06/04/2019,2019/2020
Perryville,2000,Undergraduate,All,31128125,100,MO,Perreyville,08/04/2019,2019/2020
La Verne,99999,All,All,318010005,30,CA,Online,02/05/2019,2019/2020
Jacksonville,99999,Undergraduate,School of Education,3197211,99999,FL,NULL,10/05/2019,2019/2020
Jacksonville,3000,Graduate,College of Education,31972110,99999,FL,NULL,10/05/2019,2019/2020
JOPLIN,2500,Doctoral,Medicine & Biosciences,32128025,10,MO,Joplin,08/05/2019,2019/2020
Seattle,10000,Doctoral/Graduate,"MIT, DNP, LEMBA",10, P.O. Box 2522000",NULL,
st paul,99999,All,Graduate School of Prof Psychology,31000723,99999,MN,NULL,01/01/1900,2019/2020
Tempe,9420,Undergraduate,All,11905103,90,AZ,Tempe,,2019/2020
Tempe,5245,Undergraduate,Online,11905103,99999,AZ,Tempe,,2019/2020
Tempe,2120,Graduate,Online,11905103,99999,AZ,Tempe,,2019/2020
Memphis,1500,Undergraduate,College of Nursing,11803942,1,TN,,,
Los Angeles,3000,Undergraduate,Professional,31011205,99999,CA,Online (Southern California),,2019/2020
San Diego,99999,Graduate,Law (Professional),31600105,99,CA,NULL,10/05/2019,2019/2020
New York,3000,Graduate,College of Physicians and Surgeons Genetic Counseling,31937132,1,NY,NULL,,2019/2020
Miami,3000,All,All,31827410,50,FL,Miami,,2019/2020
Southhaven,999999,All,All,31903324,99999,MS,Southhaven,,2018/2019
Richmond,999999,Undergraduate,Earlham College,31000414,6,IN,801 National Road West,,2018/2019
Forest Hills,1000,Undergraduate,Legal Studies,249B0432,30,NY,NULL,,2018/2019
Dallas,4950,Undergraduate,All,24041743,99999,TX,Dallas,,2018/2019
Houston,4950,Undergraduate,All,24042643,99999,TX,Houston,,2018/2019
Nashville,99999,All,All,21009142,99999,TN,Nashville,,2018/2019
Surprise,5000,Undergraduate,Residential Campuses,31803103,25000,AZ,Surprise,,2018/2019
Phoenix,5000,Undergraduate,Residential Campuses,31803003,25000,AZ,Phoenix,,2018/2019
Princeton,3500,Undergraduate,All,31930814,250,IN,At Toyata Motor Manufacturing - Indiana,11/04/2018,2018/2019
Princeton,3500,Graduate,All,31930814,250,IN,At Toyota Motor Manufacturing - Indiana,11/04/2018,2018/2019
Overland Park,5000,Undergraduate,Residential Campuses,31810416,25000,KS,NULL,,2018/2019
Rancho Cordova,999999,All,All,21120705,99999,CA,NULL,,2018/2019
Surprise,2000,Undergraduate,All other campuses,31803103,50000,AZ,Surprise,,2018/2019
Surprise,3000,Graduate,All Campuses,31803103,25000,AZ,Surprise,,2018/2019
Phoenix,2000,Undergraduate,All other campuses,31803003,50000,AZ,Phoenix,,2018/2019
Phoenix,3000,Graduate,All Campuses,31803003,25000,AZ,Phoenix,,2018/2019
Draper,2500,All,All,21001744,99999,UT,Draper,12/04/2018,2018/2019
Pineville,99999,Undergraduate,All,31904118,25,LA,NULL,11/04/2018,2018/2019
Pineville,99999,Graduate,All,31904118,25,LA,NULL,11/04/2018,2018/2019
Cambridge,25000,Graduate,Center for Real Estate,31003321,1,MA,NULL,,2018/2019
Winston-Salem,8000,Graduate,School of Law,31815133,99999,NC,NULL,,2019/2020
Overland Park,2000,Undergraduate,All Other Campuses,31810416,50000,KS,NULL,,2018/2019
Brookfield,5000,Undergraduate,Residential Campuses,31935249,25000,WI,NULL,,- Please make a selection -
Charlotte,99999,All,All,31911133,99999,NC,Charlotte,,2019/2020
Fayetteville,7500,Doctoral,Doctor of Occupational Therapy,31005433,10,NC,NULL,,2019/2020
Cleveland,18200,Doctoral,Weatherhead School of Management,31513635,1,OH,NULL,10/05/2018,2018/2019
Americus,10000,All,All,11007011,10,GA,NULL,,2018/2019
Pasadena,500,Undergraduate,All,249M8543,99999,TX,,,
Chamblee,500,Undergraduate,All,24956411,99999,GA,NULL,08/05/2018,2018/2019
Glendale,1500,Graduate,College of Nursing,32015849,99999,WI,NULL,,2018/2019
N. Charleston,5000,All,All,24000140,30,SC,Charleston,,2018/2019
Chillicothe,99999,All,All,11853535,99999,OH,Chillicothe,,2018/2019
Brookfield,2000,Undergraduate,All Other Campuses,31935249,50000,WI,NULL,,2018/2019
Seattle,999999,All,All,31466147,999999,WA,Seattle,,2019/2020
Colorado Springs,5000,All,All,11012806,100,CO,Tower,01/05/2018,2018/2019
Houston,500,Undergraduate,All,249M6543,99999,TX,NULL,08/05/2018,2018/2019
Houston,500,Undergraduate,All,149M7543,99999,TX,NULL,08/05/2018,2018/2019
Brookfield,3000,Graudate,All Campuses,31935249,25000,WI,NULL,,2018/2019
Rock Island,30000,All,All,32016513,99999,IL,NULL,12/04/2018,2018/2019
Cullowhee,2000,Undergraduate,All,11904133,5,NC,NULL,01/05/2018,2018/2019
Plymouth,1000,Doctoral,EdD,11050029,99999,NH,,,
Boston,3000,Graduate,All,31011321,99999,MA,NULL,09/05/2018,2018/2019
Wilmington,3000,Undergraduate,All,31001208,99999999,DE,WILMINGTON,,2018/2019
Bronx,20000,Undergraduate,Professional and Continuting Studies,31800432,99999,NY,Rose Hill Campus,,2019/2020
Baltimore,2100,Undergraduate,All,11001520,8,MD,NULL,,2018/2019
Ruskin,10000,Undergraduate,All,319D8110,2000,FL,Ruskin,,2018/2019
Ruskin,4000,Graduate,All,319D8110,2000,FL,Ruskin,,2018/2019
Ruskin,4000,Doctoral,All,319D8110,2000,FL,Ruskin,,2018/2019
Stockton,99999,Graduate,School of Business,31891105,5,CA,NULL,11/05/2018,2018/2019
Keene,99999,Undergraduate,All,11901129,99999,NH,NULL,02/05/2018,2018/2019
Minneapolis,8000,Graduate,All,31000123,99999,MN,NULL,03/05/2018,2018/2019
Minneapolis,8000,Doctoral,All,31000123,99999,MN,NULL,03/05/2018,2018/2019
Plymouth,99999,Undergraduate,All,11050029,99999,NH,,,
Dallas,7500,Graduate,Research & Graduate Studies,219G4143,12,TX,NULL,,2018/2019
OXNARD,99999,Undergraduate,College,24009105,1000,CA,NULL,10/05/2018,2018/2019
TROY,99999,Doctoral,School of Health Science,319C8132,99999,NY,NULL,10/05/2018,2018/2019
Seattle,99999,Graduate,All,31481047,100,WA,,,
SACRAMENTO,2000,All,Universal Technical Institute,21120905,5,CA,SACRAMENTO,,2018/2019
San Francisco,99999,Graduate,School of Engineering,31891305,5,CA,NULL,,2018/2019
San Francisco,99999,Graduate,College of the Pacific,31891305,5,CA,NULL,08/06/2018,2018/2019
San Francisco,99999,Graduate,College of Music,31891305,5,CA,NULL,,2012/2013
San Francisco,99999,Doctoral,School of Pharmacy,31891305,5,CA,NULL,,2018/2019
Westville,3000,Undergraduate,All,11914114,8,IN,Westville,,2018/2019
New York,22500,Undergraduate,Fordham College Lincoln Center & Gabelli School of Business,31874232,80,NY,Lincoln Center,,2019/2020
Newport,500,All,All,29934517,99999,KY,NULL,08/05/2018,2018/2019
Laguna Beach,8000,All,Art and Design Programs,31943105,20,CA,NULL,03/04/2018,2018/2019
Tampa,999999,All,All,31815010,999999,FL,Tampa,,2018/2019
Henderson,999999,All,All,24908432,999999,NV,Henderson,,2018/2019
Thornton,999999,All,All,34806106,999999,CO,Thornton,,2018/2019
New Orleans,4015,Graduate,School Prof. Advancement,31903124,30,LA,NULL,,2018/2019
Evanston,5000,Graduate/Doctoral,School of Communication,31820113,5,IL,NULL,04/05/2018,2018/2019
Baltimore,1350,Undergraduate,All,11001520,2,MD,NULL,,2018/2019
Phoenix,99999,All,All,31005703,99999,AZ,NULL,,2017/2018
Las Vegas,10000,All,All,21905928,1000,NV,NULL,,2017/2018
Valdosta,1000,All,All,11808011,4,GA,NULL,,2017/2018
Overland Park,99999,Undergraduate,All,31006616,99999,KS,Kansas City,,2017/2018
Overland Park,99999,Graduate,All,31006616,99999,KS,Kansas City,,2017/2018
Culver City,9999999,Undergraduate Certificate,UG Cert in Web Dev,31829605,999999,CA,Los Angeles,,2017/2018
Miami,7500,Graduate,Health Sciences,21818210,12,FL,Miami,07/04/2017,2017/2018
Portland,99999,Graduate,All,31003637,99999,OR,NULL,,2017/2018
Laramie,3000,All,All,11900150,33,WY,,,
Bowie,1000,All,All,11806220,10,MD,NULL,03/03/2017,2017/2018
San Dimas,14000,All,All,31014705,99999,CA,,,
Jacksonville,1000,All,All,31066210,15,FL,,,
Wilsonville,99999,Undergraduate,All,11935137,99999,OR,Wilsonville,,2017/2018
Kingman,500,Undergraduate,All,14913403,20,AZ,NULL,04/04/2017,2017/2018
Billings,4000,All,All,31000726,99999,MT,,,
Fitchburg,1000,Undergraduate,All,11814131,10,MA,NULL,06/04/2017,2017/2018
Fitchburg,1000,Graduate,All,11814121,5,MA,NULL,06/04/2016,2017/2018
Brigham City,99999,All,All,11901944,99999,UT,Brigham City,,2017/2018
Tooele,99999,All,All,11001644,99999,UT,Tooele,,2017/2018
Vernal,99999,All,All,11000644,99999,UT,Uintah,,2017/2018
Van Nuys,99999,Undergraduate,College,21117405,99999,CA,NULL,,2017/2018
Jacksonville,3000,Graduate,Public Policy Institute,31972110,99999,FL,NULL,10/05/2019,2019/2020
Oklahoma City,1000,Undergraduate,All,14929436,5,OK,NULL,02/05/2017,2017/2018
Colorado Springs,1000,Undergraduate,College,14805306,10,CO,Colorado Springs,02/05/2017,2017/2018
Fayetteville,7500,Graduate,Master of Medical Science (PA),31005433,10,NC,NULL,,2019/2020
Bloomington,99999,Undergraduate,College of Health and Wellness,31913123,99999,MN,NULL,03/05/2017,2017/2018
Atlanta,3500,Graduate,Law,31904111,50,GA,NULL,,2019/2020
Orange,17500,Professional,Rinker Campus,31980105,99999,CA,NULL,03/05/2017,2017/2018
Grand Rapids,1000,All,Juris Doctor,31050422,99999,MI,Thomas M. Cooley Law School,08/05/2017,2017/2018
Tifton,2105.5,All,All,14953411,5,GA,NULL,11/05/2017,2017/2018
Indianapolis,10000,Doctoral,School of Medicine,11810114,5,IN,NULL,08/05/2017,2017/2018
Machester,1000,Graduate,All,31100729,50,NH,Online,,2016/2017
Bar Harbor,10000,Undergraduate,College of the Atlantic,31100019,10,ME,NULL,11/05/2017,2017/2018
Orange,17500,Doctoral,Law School,31817005,99999,CA,Chapman University,11/05/2017,2017/2018
Denver,5000,Graduate,All,31814206,999999,CO,Sturm College of Law,11/05/2017,2017/2018
Elon,5000,Graduate,School of Business,31000533,1,NC,NULL,03/05/2018,2018/2019
Kansas City,4000,All,All,34000316,10,KS,NULL,,2017/2018
Nashville,99999,Graduate,College of Professional Studies,31902942,99999,TN,NULL,06/05/2017,2019/2020
Winston Salem,2000,"Graduate, Doctoral",All,31910733,,,,
Philadelphia,3214,Undergraduate,All,31825538,20,PA,NULL,,2017/2018
Philadelphia,2000,Graduate,All,31825538,50,PA,NULL,,2017/2018
La Jolla,4500,Undergraduate,All,11802305,3,CA,San Diego,12/05/2017,2017/2018
River Falls,3000,Undergraduate,All,11000749,999999,WI,River Falls,,2019/2020
Bayshore,11000,Doctoral,All,31806032,5,NY,NULL,,2019/2020
Los Angeles,10000,Graduate,Bovard,31505105,99999,CA,NULL,,2019/2020
Las Vegas,99999,All,All,21905828,99999,NV,NULL,11/04/2017,2017/2018
Charlotte,99999,All,All,21906233,99999,NC,NULL,11/04/2017,2017/2018
Tempe,1000,Graduate,ND,31006303,5,AZ,NULL,,2017/2018
Richmond,9999,All,All,24520917,2000,KY,Richmond,,2017/2018
Kettering,99999,All,All,249G2435,2000,OH,Dayton/Kettering,,2017/2018
Los Angeles,10000,Graduate,Medicine,31505105,5,CA,NULL,,2019/2020
Los Angeles,10000,Graduate,Dentistry,31505150,3,CA,NULL,11/05/2017,2017/2018
Los Angeles,99999,Undergraduate,"Bachelor of Science, Bachelor of Arts",31014905,,,,
Dallas,20000,Certificate,BMET,34042343,48,TX,NULL,,2017/2018
Blanding,99999,All,All,11001844,99999,UT,,,
Fayetteville,7500,Doctoral,Doctor of Physical Therapy,31005433,10,NC,NULL,,2019/2020
Bloomington,99999,Graduate,Nutrition,31913123,99999,MN,NULL,03/05/2017,2017/2018
Melbourne,1800,Graduate,All,31802810,99999,FL,Online,,2017/2018
Auburn Hills,1000,All,Juris Doctor,31050322,99999,MI,Thomas M. Cooley Law School,08/05/2017,2017/2018
Bar Harbor,10000,Graduate,College of the Atlantic,31100019,2,NJ,NULL,11/05/2017,2017/2018
campus box 3031,2000,Graduate,All,31011233,99999,NC,NULL,01/01/1900,2017/2018
Fayetteville,2676,Graduate,Business and Economics,11804133,99999,NC,NULL,12/05/2017,2017/2018
Los Angeles,10000,Graduate,Music,31505105,1,CA,NULL,,2019/2020
Boston,99999,Undergraduate,All,14926421,100,MA,NULL,10/05/2017,2017/2018
Los Angeles,99999,Graduate,MSOL,31014905,50,CA,,,
suite 800,99999,All,All,21600114,99999,IN,Indianapolis,,2017/2018
Milwaukee,99999,All,All,21000049,99999,WI,Milwaukee,,2017/2018
Plymouth,1000,Graduate,All,11050029,99999,NH,,,
Elizabeth City,2000,Undergraduate,All,11006833,64,NC,NULL,,2018/2019
Wellesley Hills,99999,Undergraduate,All,14908421,99999,MA,NULL,11/05/2017,2017/2018
Madison,99999,All,All,21003349,99999,WI,Madison,12/05/2017,2017/2018
Riverview,1000,All,Juris Doctor,2106510,99999,FL,Thomas M. Cooley Law School,,2017/2018
Lansing,1000,All,Juris Doctor,31050222,99999,MI,Thomas M. Cooley Law School,,2017/2018
Augusta,1000,Undergraduate,School of Culinary Arts,34915411,10,GA,NULL,,2016/2017
Lancaster,99999,All,All,31943138,99999,PA,NULL,,
Greenbelt,99999,All,All,31923020,99999,MD,,,
Memphis,99999,All,All,31904342,99999,TN,NULL,,
Philadelphia,99999,All,All,31P40138,99999,PA,NULL,,
Mechanicsburg,1000,Graduate,All,31010538,10,PA,NULL,04/04/2016,2016/2017
College Park,2500,Graduate,College of Agriculture,11800020,1,MD,College Park,01/05/2018,2018/2019
College Park,1000,Graduate,School of Architecture,11800020,3,MD,College Park,07/05/2019,2019/2020
College Park,2000,Graduate,BSOS,11800020,2,MD,College Park,01/05/2018,2018/2019
College Park,2500,Graduate,School of Education,11800020,2,MD,College Park,01/05/2018,2018/2019
College Park,1000,Graduate,School of Public Health,11800020,3,MD,College Park,01/05/2018,2018/2019
Manchester,1000,Graduate,All,31802529,50,NH,Manchester,,2016/2017
West Lebanon,1000,Undergraduate,All,31802729,50,NH,Lebanon,,2016/2017
Decatur,7400,Undergraduate,All,34913411,100,GA,NULL,04/04/2016,2016/2017
Jeffersonville,7400,Undergraduate,All,34900414,100,IN,NULL,04/04/2016,2016/2017
Winston Salem,2000,Doctoral,All,31815333,5,NC,NULL,,2016/2017
Winston Salem,2000,Graduate,All,31815733,6,NC,NULL,,2016/2017
Winston Salem,2000,Graduate,Biomedical Sciences,31815333,2,NC,NULL,04/04/2016,2016/2017
Hamden,15000,All,All,31808007,99999,CT,NULL,07/04/2016,2016/2017
Chatsworth,1500,Graduate,School of Psychology,31617305,10,CA,NULL,07/04/2016,2016/2017
Chatsworth,1500,Doctoral,School of Psychology,31617305,10,CA,NULL,07/04/2016,2016/2017
Seattle,5000,Undergraduate,All,21418947,99999,WA,NULL,06/04/2016,2016/2017
Seattle,5000,Graduate,School of Film Composition,21418947,99999,WA,NULL,06/04/2016,2016/2017
Dallas,7400,Undergraduate,All,349C7443,100,TX,NULL,04/04/2016,2016/2017
Seattle,10000,Graduate,School of Filmmaking and Producing,21418947,99999,WA,NULL,06/04/2016,2016/2017
Clearwater,10500,All,All,31836210,75,FL,Clearwater,,2018/2019
West Palm Beach,14400,All,All,31055610,100,FL,Residential,,2018/2019
Miami Lakes,5000,All,All,24821810,30,FL,Miami Lakes Area,,2018/2019
Los Angeles,99999,All,All,21115805,99999,CA,,,
Concord,1000,All,All,21118405,5,CA,,,
Fresno,1000,All,All,24009205,5,CA,NULL,,
Modesto,1000,All,All,24009705,5,CA,,,
New Port Richey,10500,All,All,31836310,125,FL,,,
Miami Gardens,1750,All,All,21065710,99999,FL,Miami Gardens,,2016/2017
Suwanee,2000,Graduate,All,31900211,5,GA,,,
Suwanee,4000,Doctoral,Osteopathy,31900211,5,GA,,,
Harrisonburg,3000,Undergraduate,All,13000146,3,VA,NULL,,2019/2020
Irving,99999,All,All,21047243,99999,TX,Irving,01/01/1900,2016/2017
North Brunswick,99999,All,All,21017430,99999,NJ,North Brunswick,01/01/1900,2016/2017
North Dartmouth,99999,All,All,11014421,99999,MA,NULL,08/04/2016,2016/2017
Tampa,3000,All,All,31627310,150,FL,Tampa,05/04/2017,2017/2018
Cobleskill,1000,All,All,11971132,5,NY,SUNY Cobleskill,,2016/2017
Dudley,5700,Graduate,All,31912121,100,MA,NULL,,
Jackson,99999,All,All,24900524,99999,MS,Jackson,,2016/2017
Morgantown,99999,Undergraduate,All,11800048,99999,WV,NULL,,2016/2017
Richardson,99999,All,College,21047143,99999,TX,,,
Indianapolis,10000,All,All,11903414,12,IN,Indianapolis,11/05/2016,2016/2017
Elkins Park,1000,All,All,31004238,10,PA,NULL,,2018/2019
San Francisco,10000,Graduate & Doctoral,School of Dentistry,31891305,10,CA,NULL,,2018/2019
Lynchburg,7500,Undergraduate,School of Aeronautics (online),31926246,99999,VA,NULL,,2016/2017
Lynchburg,10000,Undergraduate,School of Aeronautics (resident),31926246,99999,VA,NULL,,2016/2017
Charles Town,99999,All,All,31001048,20,WV,Charles Town,,2016/2017
Arlington,99999,All,All,31024146,20,VA,Arlington,,2016/2017
Southaven,99999,All,All,25900924,99999,MS,,,
Marylhurst,99999,All,All,31909137,99999,OR,NULL,,2016/2017
New Orleans,4000,All,All,31000518,18,LA,NULL,11/05/2016,2016/2017
Washington,10000,"Graduate, Doctoral",Nursing & Health Studies,31405209,,,,
Washington,5000,Undergraduate,School of Foreign Service,31405209,99999,DC,,,
Fairview Heights,5000,Undergraduate,All,24901013,99999,IL,Fairview Heights,,2016/2017
St. Louis,5000,Undergraduate,All,24961025,99999,MO,NULL,,2016/2017
Athens,5000,Graduate (JD),School of Law,11803011,2,GA,NULL,,2016/2017
Oakland,3000,All,All,31107405,99999,CA,,,
New Orleans,4000,Undergraduate,Newcomb-Tulane College; School of Architecture; School of Business; School of Liberal Arts; School of Public Health; School of Science & Engineering,31800116,20,LA,NULL,,2018/2019
Santa Barbara,99999,Graduate,All,11905105,99999,CA,Santa Barbara,,2019/2020
Portland,15700,Undergraduate,All,31002037,15,OR,NULL,11/05/2018,2018/2019
Santa Barbara,99999,Graduate,All,11905105,99999,CA,,,
Springfield,99999,Graduate,All,31006535,50,OH,NULL,10/09/2016,2016/2017
St Petersburg,6300,Undergraduate,ABSN Nursing,31065510,5,FL,,,
Manchester,1000,Undergraduate,All,31100729,50,NH,Online,,2016/2017
Goodyear,1000,Undergraduate,All,31912903,50,AZ,Goodyear,,2016/2017
Goodyear,1000,Graduate,All,31912903,50,AZ,Goodyear,,2016/2017
San Antonio,99999,All,All,31043843,99999,TX,NULL,,NULL
San Antonio,99999,All,All,31044643,99999,TN,NULL,,NULL
Claremont,10000,Undergraduate,All,31504905,10,CA,NULL,03/04/2015,NULL
Austin,99999,Undergraduate,All,24033943,99999,TX,Austin,08/04/2015,2017/2018
Fort Pierce,99999,Undergraduate,All,249F1410,99999,FL,Ft. Pierce,08/04/2015,2016/2017
Pensacola,99999,All,All,24994410,99999,FL,Pensacola,01/01/1900,2016/2017
Edmond,4000,Graduate,All,11946136,2,OK,NULL,08/04/2015,NULL
Inglewood,1500,All,College,24943505,99999,CA,NULL,,
Forest Hills,500,Undergraduate,Allied Health,249B0432,10,NY,NULL,,2018/2019
Forest Hills,1000,Undergraduate,Business,249B0432,20,NY,NULL,,2018/2019
Hollywood,99999,All,All,24841310,99999,FL,Hollywood,,NULL
Jacksonville,99999,All,All,24201610,99999,FL,Jacksonville,,NULL
Miami,99999,All,All,24841010,99999,FL,Miami,,NULL
Miami Lakes,99999,All,All,24841110,99999,FL,,,
West Palm Beach,99999,All,All,249E4410,99999,FL,,,
Homestead,99999,All,All,24481210,99999,FL,Homestead,,NULL
San Diego,10000,Graduate,SchooL of Business,31931105,99999,CA,NULL,,- Please make a selection -
Martinsburg,8500,Diploma,All,24926148,99999,WV,Martinburg,,NULL
Martinsburg,8500,Associates,All,24926148,99999,WV,Martinburg,,NULL
Beckley,8500,Diploma,All,24927148,99999,WV,,,
Beckley,8500,Associates,All,24927148,99999,WV,,,
Princeton,8500,Diploma,All,24928148,99999,WV,Princeton,,NULL
Elon,5000,Graduate,School of Communications,31000533,1,NC,NULL,03/05/2018,2018/2019
Princeton,8500,Associates,All,24928148,99999,WV,Princeton,,NULL
Birmingham,99999,Graduate,All,24938401,99999,AL,Birmingham,,2016/2017
Minneapolis,99999,Graduate,All,21014823,99999,MN,Minneapolis,,2016/2017
St. Davids,99999,All,All,31005138,99999,PA,NULL,01/04/2015,NULL
Yuma,99999,Undergraduate,All,14911403,99999,AZ,NULL,,NULL
Tinley Park,99999,All,All,21987113,99999,IL,Tinley Park,01/01/1900,NULL
Pearland,99999,All,All,21046343,99999,TX,Pearland,01/01/1900,NULL
Williston,99999,All,All,11900245,99999,VT,Williston,01/01/1900,NULL
Mesquite,2625,All,All,24041343,99999,TX,Mesquite,,
Lakewood,5000,Undergraduate/Graduate,CAGS-Adult & Grad Studies,31014006,99999,CO,NULL,,2015/2016
Canton,99999,Associates,Aviation Technology,34100322,100,MI,NULL,,NULL
Lock Haven,1000,All,All,11009738,5,PA,NULL,11/05/2015,NULL
LUBBOCK,1500,Graduate,All,358600,99999,TX,NULL,01/01/1900,NULL
Pasco,1000,Undergraduate,All,11904447,2,WA,NULL,07/05/2015,NULL
Athens,9000,Graduate,Terry College of Business,11803011,2,GA,NULL,,2016/2017
Los Angeles,7500,All,All,31011405,99999,CA,NULL,07/05/2015,NULL
Denver,5000,All,School of Medicine,11802506,2,CO,,,
Portland,5000,Undergraduate,All,31001919,15,ME,Portland,,NULL
Seattle,25000,Graduate/Doctoral,All,31466147,100,WA,Seattle,,2018/2019
Charlotte,25000,Graduate/Doctoral,All,31911133,100,NC,Charlotte,,2018/2019
Charles Town,99999,All,All,21913148,99999,WV,NULL,01/01/1900,NULL
Berea,17095,Graduate,All,31000335,100,OH,NULL,01/01/1900,2015/2016
Rochester,99999,Graduate,Warner School of Education,31820132,99999,NY,NULL,03/05/2016,2016/2017
Rochester,99999,Undergraduate,School of Nursing,31820132,99999,NY,NULL,03/05/2016,2016/2017
New York,2000,Undergraduate,All,24924432,99999,NY,NULL,,NULL
Lake Forest,20000,Undergraduate,All,31955113,5,IL,NULL,,NULL
San Diego,99999,All,All,31014255,99999,CA,San Diego,11/05/2016,2016/2017
Portland,5000,All,All,31001919,15,ME,Portland,,NULL
West Palm Beach,2500,Undergraduate,Health Occupations,349F4410,10,FL,NULL,,NULL
South Charleston,99999,Undergraduate,College,14810548,99999,WI,NULL,,NULL
Leesburg,99999,Undergraduate,All,31064710,99999,FL,NULL,,NULL
Cambridge,20000,Graduate,Supply Chain Management,31003321,5,MA,NULL,,2018/2019
Evanston,5000,Graduate,McCormick School of Engineering and Applied Science,31820113,10,IL,Evanston,11/05/2017,2017/2018
Los Angeles,14000,Undergraduate,All,31840205,30,CA,NULL,05/05/2015,NULL
Los Angeles,99999,Undergraduate,Online,31840205,99999,CA,NULL,05/05/2015,NULL
Los Angeles,1500,Doctoral,All,31840205,4,CA,NULL,05/05/2015,NULL
Notre Dame,99999,Graduate,MS in Data Science,31002014,99999,IN,NULL,06/05/2015,NULL
Notre Dame,99999,Graduate,Doctorate - Nursing,31002014,99999,IN,NULL,06/05/2015,NULL
Sacramento,99999,Graduate,McGeorge School of Law,31891205,60,CA,NULL,,- Please make a selection -
Wheaton,8012,Undergraduate,Conservatory of Music,31954113,99999,IL,NULL,06/05/2019,2019/2020
Philadelphia,5000,Graduate,Fox School of Business - Global MBA,11900238,5,PA,NULL,,2017/2018
