Facility Code|Institution Name|Program Type|Description|Full Time Undergraduate|Graduate|Full Time Modifier|Length|OJT-APP Type
11817121|UNIVERSITY OF MASSACHUSETTS CHAN MEDICAL SCHOOL|IHL|MD-PHD Program|0|AS CERTIFIED|S||
11817121|UNIVERSITY OF MASSACHUSETTS CHAN MEDICAL SCHOOL|IHL|Medical Doctor-MD|0|AS CERTIFIED|S||
11817121|UNIVERSITY OF MASSACHUSETTS CHAN MEDICAL SCHOOL|IHL|Nursing Practice-DNP|0|AS CERTIFIED|S||
11817121|UNIVERSITY OF MASSACHUSETTS CHAN MEDICAL SCHOOL|IHL|Nursing and Interprofessional Ldershp-MS|0|AS CERTIFIED|S||
11817121|UNIVERSITY OF MASSACHUSETTS CHAN MEDICAL SCHOOL|IHL|Nursing-PHD|0|AS CERTIFIED|S||
18007921|GREATER LOWELL TECHNICAL SCHOOL|NCD|PRACTICAL NURSE PROGRAM|18||C|1097|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|AUTOMOTIVE BREAKS|||C|18|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|BASIC AUTOMOTIVE MAINTENANCE|||C|15|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|CERT MEDICAL AND BILLING CODING SPEC|||C|119|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|CERT WELDING LEVEL I|||C|32|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|CERT WELDING LEVEL III|||C|32|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|CERT-EPA 608 TECHNICIAN|||C|14|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|CERT-HOT WORK TRAINING|||C|3|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|CERT-OIL BURNER TECHNICIAAN- PREP COURSE|||C|66|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|CERT-PHLEBOTROMY TECHNICIAN|||C|60|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|CERT-SERVSAFE-RE-CERT|||C|6|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|CERTIFIED NURSES AID-HOME HEALTH AIDE|||C|100|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|CON SUPER LICENSE UNRE EXAM PREP|||C|12|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|COSMETOLOGY|||C|1000|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|Cert EKG TECHNICIAN|||C|30|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|Cert Welding Level II|||C|30|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|ELECTRICAL CODE- JOURNEYMANS MODULE 1|||C|150|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|ELECTRICAL CODE- JOURNEYMANS MODULE 3|||C|150|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|ELECTRICAL CODE- JOURNEYMANS MODULE 4|||C|150|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|ELECTRICAL CODE-ADVANCED MASTERS MODULE|||C|150|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|ELECTRICAL CODE-JOURNEYMANS MODULE 2|||C|150|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|HOISTING LICENCE EXAM PREP 2A N 1C|||C|6|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|MANICURING LICENSE|||C|100|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|PRACTICAL NURSING PROGRAM|||C|1230|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|Plumbing Apprenticeship Trng Tier 1|||C|110|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|Plumbing Apprenticeship Trng Tier 2|||C|110|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|Plumbing Apprenticeship Trng Tier 3|||C|110|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|Plumbing Apprenticeship Trng Tier 4|||C|110|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|Plumbing Apprenticeship Trng Tier 5|||C|110|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|SMALL ENGINE REPAIR|||C|21|
15049221|MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL|NCD|UNRESTRICTED CONSTRUCT SUPER CONT ED|||C|12|
32050221|MASSACHUSETTS GENERAL HOSPITAL RESIDENCY PROGRAMS|IHL|DIAGNOSTIC RADIOLOGY RESIDENCY|0|AS CERTIFIED|C||
32050221|MASSACHUSETTS GENERAL HOSPITAL RESIDENCY PROGRAMS|IHL|ORTHOPAEDIC SURGERY RESIDENCY|0|AS CERTIFIED|C||
10827021|WORCESTER FIRE DEPARTMENT|OJT|FIREFIGHTER/EMT||||8000|K
10827121|WELLESLEY FIRE DEPARTMENT|OJT|FIRE FIGHTER/EMT||||8000|
15055721|COYLE AND CASSIDY HIGH SCHOOL|NCD|HIGH SCHOOL DIPLOMA||||4 YRS|
20827321|WESTERN MASSACHUSETTS CARPENTERS LOCAL 108 JATC|OJT|CARPENTER||||8000HR|K
20828121|REILLY ELECTRICAL CONTRACTORS INC|OJT|ELECTRICIAN||||8000HR|K
25060521|WORCESTER ACADEMY|NCD|HIGH SCHOOL DIPLOMA||||4 YRS|
10300221|WILMINGTON FIRE DEPARTMENT|OJT|FIREFIGHTER||||6000|K
25806421|MANSFIELD BEAUTY SCHOOL-QUINCY|NCD|Cosmetology|||C|1000|
25806421|MANSFIELD BEAUTY SCHOOL-QUINCY|NCD|Cosmetology Apprenticeship|||C|1000|
25806421|MANSFIELD BEAUTY SCHOOL-QUINCY|NCD|Manicure|||C|100|
37015421|NORTHFIELD MOUNT HERMAN SCHOOL|NCD|High School Diploma|||C|18|
