id,instnm,school system name,settlement title,settlement description,settlement date,settlement link,school closing date,sec 702
205647,BROWN MACKIE COLLEGE-AKRON,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
207166,HOLLYWOOD COSMETOLOGY CENTER,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Programs Issued by Department of Education,1/30/18,,,
208239,THE ART INSTITUTE OF PORTLAND,"Dream Center Education Holdings, LLC",,"Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website)",11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
210906,THE ART INSTITUTES OF YORK-PA,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
210942,THE ART INSTITUTE OF PHILADELPHIA,"Dream Center Education Holdings, LLC",,"Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website)",11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
210960,THE ART INSTITUTE OF PITTSBURGH,,,"Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",3/8/19,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
211617,BRIGHTWOOD CAREER INSTITUTE-PHILA MILLS,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
213002,BRIGHTWOOD CAREER INSTITUTE-PITTSBURGH,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),9/12/18,https://www.insidehighered.com/news/2018/09/12/profit-chain-will-close-dozens-campuses,,
214254,BRIGHTWOOD CAREER INSTITUTE-PHILADELPHIA,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
215646,BRIGHTWOOD CAREER INSTITUTE-BROOMALL,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
216339,TEMPLE UNIVERSITY,TEMPLE UNIVERSITY,,Settlement reached with States Attorney General,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
222938,THE ART INSTITUTE OF HOUSTON,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
224776,SOUTH UNIVERSITY-THE ART INSTITUTE OF DALLAS,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
227836,BRIGHTWOOD COLLEGE-MCALLEN,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
229036,BRIGHTWOOD COLLEGE-HOUSTON,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
230603,SOUTHERN UTAH UNIVERSITY,,,The Federal Trade Commission (FTC) has reached a settlement with this school.,2/2/16,,,
234492,THE ART INSTITUTE OF SEATTLE,,,"Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",3/8/19,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
234711,BIG BEND COMMUNITY COLLEGE,,,The Federal Trade Commission (FTC) has reached a settlement with this school,2/2/16,,,
244561,CORTIVA INSTITUTE-CHICAGO,,,Upcoming Campus Closure (Details Posted on Institution's Website),4/17/19,https://www.cortiva.edu/,,
246202,BRIGHTWOOD COLLEGE-NASHVILLE,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
246266,BRIGHTWOOD COLLEGE-EL PASO,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
251075,BRIGHTWOOD CAREER INSTITUTE- HARRISBURG,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
251312,SOUTH UNIVERSITY-COLUMBIA,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
364955,BRIGHTWOOD COLLEGE-SAN ANTONIO SAN PEDRO,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
365055,THE ART INSTITUTE OF NEW YORK CITY,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
366748,ARGOSY UNIVERSITY-HAWAII,"Dream Center Education Holdings, LLC",,"Loss of Title IV Participation, Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",3/8/19,https://studentaid.ed.gov/sa/about/announcements/dream-center,,
366748,ARGOSY UNIVERSITY-AMERICAN SAMOA,"Dream Center Education Holdings, LLC",,"Loss of Title IV Participation, Assigned receiver has motioned court for an emergency closure of compus. ImmInent closure is a distinct possible",3/8/19,https://studentaid.ed.gov/sa/about/announcements/dream-center,,
366960,BRIGHTWOOD COLLEGE-SALIDA,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
367936,ARGOSY UNIVERSITY-ATLANTA,"Dream Center Education Holdings, LLC",,"Loss of Title IV Participation, Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website), Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",3/8/19,https://studentaid.ed.gov/sa/about/announcements/dream-center,,
373085,BROWN MACKIE COLLEGE-QUAD CITIES,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
374875,BRIGHTWOOD COLLEGE-LAS VEGAS,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
375489,BROWN MACKIE COLLEGE-FINDLAY,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
380465,UNIVERSITY OF PHOENIX-UTAH CAMPUS,University of Phoenix-Utah Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
380474,CORTIVA INSTITUTE-SALT LAKE CITY,,,Upcoming Campus Closure (Details Posted on Institution's Website),4/17/19,https://www.cortiva.edu/,,
382896,BRIGHTWOOD COLLEGE-DALLAS,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
408039,BROWN MACKIE COLLEGE-FORT WAYNE,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
410283,BROWN MACKIE COLLEGE-ATLANTA,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
410502,THE ART INSTITUTE OF CALIFORNIA-ARGOSY UNIVERSITY HOLLYWOOD,"Dream Center Education Holdings, LLC",,"Loss of Title IV Participation, Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website), Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",3/8/19,https://studentaid.ed.gov/sa/about/announcements/dream-center,,
419411,CORTIVA INSTITUTE-SEATTLE,,,Upcoming Campus Closure (Details Posted on Institution's Website),4/17/19,https://www.cortiva.edu/,,
419457,ARGOSY UNIVERSITY-NORTHERN VA,"Dream Center Education Holdings, LLC",,"Loss of Title IV Participation, Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",3/8/19,https://studentaid.ed.gov/sa/about/announcements/dream-center,,
420042,UNIVERSITY OF PHOENIX-HAWAII CAMPUS,University of Phoenix-Hawaii Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
420103,CORTIVA INSTITUTE-MIAMI,,,Upcoming Campus Closure (Details Posted on Institution's Website),4/17/19,https://www.cortiva.edu/,,
420866,ARGOSY UNIVERSITY-SCHAUMBURG,,,Settlement with U.S. Government,1/18/19,https://www.wscuc.org/institutions/argosy-university,,
421513,BROWN MACKIE COLLEGE-HOPKINSVILLE,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
428268,ARGOSY UNIVERSITY-TAMPA,"Dream Center Education Holdings, LLC",,"Loss of Title IV Participation, Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",3/8/19,https://studentaid.ed.gov/sa/about/announcements/dream-center,,
428286,THE ILLINOIS INSTITUTE OF ART-SCHAUMBURG,"Dream Center Education Holdings, LLC",,"Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website)",11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
428444,THE ART INSTITUTE OF PHOENIX,"Dream Center Education Holdings, LLC",,"Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website)",11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
430087,COLORADO TECHNICAL UNIVERSITY - AURORA,COLORADO TECHNICAL UNIVERSITY - AURORA,,The Federal Trade Commission (FTC) has reached a settlement with this school.,1/3/19,http://www.marylandattorneygeneral.gov/press/2019/010319.pdf,,
430087,COLORADO TECHNICAL UNIVERSITY-AURORA,COLORADO TECHNICAL UNIVERSITY-AURORA,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
431886,BRIGHTWOOD COLLEGE-SAN ANTONIO INGRAM,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
432223,UNIVERSITY OF PHOENIX-WESTERN WASHINGTON CAMPUS,University of Phoenix-Western Washington Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
432302,BRIGHTWOOD COLLEGE-RIVERSIDE,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
432533,THE ART INSTITUTE OF CALIFORNIA-ARGOSY UNIVERSITY LOS ANGELES,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
436067,PRYOR BEAUTY COLLEGE,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Programs Issued by Department of Education,,,,
436094,ARGOSY UNIVERSITY-PHOENIX,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
436270,CORTIVA INSTITUTE-OREM,,,Upcoming Campus Closure (Details Posted on Institution's Website),4/17/19,https://www.cortiva.edu/,,
436438,ARGOSY UNIVERSITY-ORANGE COUNTY,"Dream Center Education Holdings, LLC",,"Loss of Title IV Participation, Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",3/8/19,https://studentaid.ed.gov/sa/about/announcements/dream-center,,
438586,AMERICAN INTERCONTINENTAL UNIVERSITY ATLANTA,COLORADO TECHNICAL UNIVERSITY-COLORADO SPRINGS,,The Federal Trade Commission (FTC) has reached a settlement with this school,1/3/19,http://www.marylandattorneygeneral.gov/press/2019/010319.pdf,,
438586,AMERICAN INTERCONTINENTAL UNIVERSITY-ATLANTA,AMERICAN INTERCONTINENTAL UNIVERSITY-ATLANTA,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
439057,ARGOSY UNIVERSITY-SEATTLE,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
439127,BRIGHTWOOD COLLEGE-FRIENDSWOOD,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
440323,BRIGHTWOOD COLLEGE-BEAUMONT,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),9/12/18,https://www.insidehighered.com/news/2018/09/12/profit-chain-will-close-dozens-campuses,,
440332,BRIGHTWOOD COLLEGE-LAREDO,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
440341,THE ART INSTITUTE OF WASHINGTON,"Dream Center Education Holdings, LLC",,"Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website)",11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
441450,D'MOST BEAUTY & BODY INSTITUTE,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Program,3/29/19,,,
441973,THE ART INSTITUTE OF CALIFORNIA-ARGOSY UNIVERSITY ORANGE COUNTY,"Dream Center Education Holdings, LLC",,"Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website)",11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
442222,PALO ALTO COLLEGE,,,Flight Program - Suspended for 85/15 violation,2/2/16,,,
442222,ARGOSY UNIVERSITY-DALLAS,"Dream Center Education Holdings, LLC",,"Loss of Title IV Participation, Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website), Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",3/8/19,https://studentaid.ed.gov/sa/about/announcements/dream-center,,
443827,BRIGHTWOOD COLLEGE-BROWNSVILLE,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
444158,COLORADO TECHNICAL UNIVERSITY - ONLINE,COLORADO TECHNICAL UNIVERSITY - ONLINE,,The Federal Trade Commission (FTC) has reached a settlement with this school.,1/3/19,http://www.marylandattorneygeneral.gov/press/2019/010319.pdf,,
444158,COLORADO TECHNICAL UNIVERSITY-ONLINE,COLORADO TECHNICAL UNIVERSITY-ONLINE,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
444927,THE ART INSTITUTE OF TUCSON,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
445027,AMERICAN INTERCONTINENTAL UNIVERSITY ONLINE,COLORADO TECHNICAL UNIVERSITY-ONLINE,,The Federal Trade Commission (FTC) has reached a settlement with this school,1/3/19,http://www.marylandattorneygeneral.gov/press/2019/010319.pdf,,
445027,AMERICAN INTERCONTINENTAL UNIVERSITY-CHANDLER,AMERICAN INTERCONTINENTAL UNIVERSITY,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
445027,AMERICAN INTERCONTINENTAL UNIVERSITY-SCHAUMBURG,AMERICAN INTERCONTINENTAL UNIVERSITY-ONLINE,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
445133,AMERICAN INTERCONTINENTAL UNIVERSITY - HOUSTON,COLORADO TECHNICAL UNIVERSITY-AURORA,,The Federal Trade Commission (FTC) has reached a settlement with this school,1/3/19,http://www.marylandattorneygeneral.gov/press/2019/010319.pdf,,
445133,AMERICAN INTERCONTINENTAL UNIVERSITY-HOUSTON,AMERICAN INTERCONTINENTAL UNIVERSITY-HOUSTON,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
445300,UNIVERSITY OF PHOENIX-JERSEY CITY,University of Phoenix-Jersey City,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
445328,BRIGHTWOOD COLLEGE-FORT WORTH,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
446668,THE ART INSTITUTE OF OHIO-CINCINNATI,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
447120,BRIGHTWOOD COLLEGE-FRESNO,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),9/12/18,https://www.insidehighered.com/news/2018/09/12/profit-chain-will-close-dozens-campuses,,
