facility no.,school name,total paid,count of adv pay students,count of reg students,total count of students
14916410,LAKE-SUMTER STATE COLLEGE,2685,0,179,179
32029613,LAKEVIEW COLLEGE OF NURSING,120,0,8,8
349H9635,LAKEWOOD COLLEGE,4515,0,301,301
14905406,LAMAR COMMUNITY COLLEGE,180,0,12,12
119F1443,LAMAR STATE COLLEGE-ORANGE,1095,0,73,73
149A1443,LAMAR STATE COLLEGE-PORT ARTHUR,750,0,50,50
119G3143,LAMAR UNIVERSITY,9615,0,641,641
11101075,LAMBTON COLLEGE,15,0,1,1
35137443,LAMPASAS COUNTY HIGHER EDUCATION CENTER,30,0,2,2
25113843,LAMSON INSTITUTE,1635,0,109,109
25130105,LANCASTER BEAUTY SCHOOL,15,0,1,1
31943138,LANCASTER BIBLE COLLEGE,825,0,55,55
31P40138,LANCASTER BIBLE COLLEGE CENTER FOR URBAN THEOLOGICAL STUDIES,135,0,9,9
31904342,LANCASTER BIBLE COLLEGE DBA MEMPHIS CENTER FOR URBAN THEOLOGICAL STUDI,60,0,4,4
31923020,LANCASTER BIBLE COLLEGE-MARYLAND,690,0,46,46
14P71638,LANCASTER COUNTY CAREER AND TECHNOLOGY CENTER,105,0,7,7
18308038,LANCASTER COUNTY CAREER AND TECHNOLOGY CENTER,75,0,5,5
28304138,LANCASTER SCHOOL OF COSMETOLOGY,15,0,1,1
31005838,LANCASTER THEOLOGICAL SEMINARY,15,0,1,1
11200474,LANCASTER UNIVERSITY,45,0,3,3
11000840,LANDER UNIVERSITY,2625,0,175,175
35138510,LANDMARK BAPTIST COLLEGE,15,0,1,1
31902145,LANDMARK COLLEGE,75,0,5,5
25017533,LANDMARK LEARNING INC,15,0,1,1
31002542,LANE COLLEGE,315,0,21,21
14905437,LANE COMMUNITY COLLEGE,6405,0,427,427
14933105,LANEY COLLEGE,1935,0,129,129
14200175,LANGARA COLLEGE,15,0,1,1
11901136,LANGSTON UNIVERSITY,720,0,48,48
11901236,LANGSTON UNIVERSITY-OKLAHOMA CITY,135,0,9,9
11901336,LANGSTON UNIVERSITY-TULSA,105,0,7,7
14800411,LANIER TECHNICAL COLLEGE,1515,0,101,101
14801411,LANIER TECHNICAL COLLEGE-FORSYTH,390,0,26,26
24930438,LANSDALE SCHOOL OF BUSINESS,75,0,5,5
14917422,LANSING COMMUNITY COLLEGE,6405,0,427,427
14902450,LARAMIE COUNTY COMMUNITY COLLEGE,3465,0,231,231
14912443,LAREDO COLLEGE,2190,1,145,146
22055110,LARGO MEDICAL CENTER,15,0,1,1
25575635,LAROCK HEALTHCARE ACADEMY-COLUMBUS,15,0,1,1
25576035,LAROCK HEALTHCARE ACADEMY-PARMA,30,0,2,2
25075913,LARRY'S BARBER COLLEGE,90,0,6,6
25072813,LARRY'S BARBER COLLEGE,60,0,4,4
25076013,LARRY'S BARBER COLLEGE,30,0,2,2
14954105,LAS POSITAS COLLEGE,6750,0,450,450
24908428,LAS VEGAS COLLEGE,165,0,11,11
15001628,LAS VEGAS METROPOLITAN POLICE DEPARTMENT ACADEMY,240,0,16,16
25447110,LASALLE COMPUTER LEARNING CENTER,225,0,15,15
31016621,LASELL COLLEGE,615,0,41,41
149A2405,LASSEN COMMUNITY COLLEGE,405,0,27,27
25023442,LAST MINUTE CUTS SCHOOL OF BARBERING AND COSMETOLOGY,465,0,31,31
28105222,LATRESS BEAUTY ACADEMY INC DBA MICHIGAN COLLEGE OF BEAUTY,45,0,3,3
34000344,LATTER-DAY SAINTS BUSINESS COLLEGE,120,0,8,8
24927548,LAUREL BUSINESS INSTITUTE,45,0,3,3
24985438,LAUREL BUSINESS INSTITUTE-UNIONTOWN,210,0,14,14
249B7438,LAUREL TECHNICAL INSTITUTE-MEADVILLE,105,0,7,7
24962438,LAUREL TECHNICAL INSTITUTE-SHARON,150,0,10,10
24009105,LAURUS COLLEGE - OXNARD,3585,0,239,239
24009005,LAURUS COLLEGE - SANTA MARIA,585,0,39,39
21121805,LAURUS COLLEGE-OXNARD,3150,0,210,210
21121705,LAURUS COLLEGE-SAN LUIS OBISPO,540,0,36,36
25071343,LAUTERSTEIN-CONWAY MASSAGE SCHOOL,165,0,11,11
15032601,LAW ENFORCEMENT ACADEMY-TUSCALOOSA-APOSTC,15,0,1,1
15553425,LAW ENFORCEMENT TRAINING INSTITUTE,195,0,13,13
31924122,LAWRENCE TECHNOLOGICAL UNIVERSITY,1170,0,78,78
31000349,LAWRENCE UNIVERSITY,270,0,18,18
14916401,LAWSON STATE COMMUNITY COLLEGE,2460,1,163,164
14816401,LAWSON STATE COMMUNITY COLLEGE-BESSEMER,1110,0,74,74
31101090,LAZARSKI UNIVERSITY,15,0,1,1
25042346,LB BEAUTY & TRAINING ACADEMY,75,0,5,5
31311732,LE MOYNE COLLEGE,1125,0,75,75
25143943,LEADERQUEST,1995,0,133,133
25136643,LEADERQUEST,1125,0,75,75
25462010,LEADERQUEST IT TRAINING,2205,0,147,147
25024206,LEADERQUEST-COLORADO SPRINGS,3150,0,210,210
25028306,LEADERQUEST-ENGLEWOOD,2715,0,181,181
25007137,LEADING EDGE AVIATION,165,0,11,11
25003812,LEAPFOX LEARNING,210,0,14,14
15480710,LEAREY TECHNICAL COLLEGE,135,0,9,9
25117805,LEARNET ACADEMY,60,0,4,4
25027023,LEARNING JOURNEYS,15,0,1,1
25006644,LEARNKEY INC,7215,0,481,481
25600925,LEBANON COLLEGE OF COSMETOLOGY,15,0,1,1
18127638,LEBANON COUNTY CAREER AND TECHNOLOGY CENTER,75,0,5,5
25310938,LEBANON COUNTY CAREER SCHOOL,60,0,4,4
31946138,LEBANON VALLEY COLLEGE,570,0,38,38
15014633,LEDFORD HIGH SCHOOL,15,0,1,1
14913443,LEE COLLEGE,3360,0,224,224
25505610,LEE PROFESSIONAL INSTITUTE,15,0,1,1
25143505,LEE STRASBERG THEATRE & FILM INSTITUTE,345,0,23,23
28573032,LEE STRASBERG THEATRE & FILM INSTITUTE,120,0,8,8
31905242,LEE UNIVERSITY,1695,0,113,113
14960423,LEECH LAKE TRIBAL COLLEGE,15,0,1,1
11000674,LEEDS BECKETT UNIVERSITY,105,0,7,7
15581925,LEE'S SUMMIT SR HIGH,15,0,1,1
34000633,LEES-MCRAE COLLEGE,600,1,39,40
15001418,LEESVILLE HIGH SCHOOL,15,0,1,1
14913164,LEEWARD COMMUNITY COLLEGE,13500,0,900,900
25128643,LEGENDS REAL ESTATE SCHOOL,315,0,21,21
25807940,LEGRAND INSTITUTE OF COSMETOLOGY INC,15,0,1,1
14926438,LEHIGH CARBON COMMUNITY COLLEGE,2505,1,166,167
18031738,LEHIGH CAREER & TECHNICAL INSTITUTE,135,0,9,9
31002438,LEHIGH UNIVERSITY,480,0,32,32
11101778,LEIDEN UNIVERSITY,30,0,2,2
31002642,LEMOYNE-OWEN COLLEGE,405,0,27,27
15086138,LENAPE TECHNICAL SCHOOL,45,0,3,3
18086138,LENAPE TECHNICAL SCHOOL,45,0,3,3
14911433,LENOIR COMMUNITY COLLEGE,2190,0,146,146
31001033,LENOIR-RHYNE UNIVERSITY,960,0,64,64
31002340,LENOIR-RHYNE UNIVERSITY-LUTHERAN THEOLOGICAL SOUTHERN SEMINARY,135,0,9,9
11101090,LEON SCHILLER NATIONAL SCHOOL,15,0,1,1
25567325,LEONARDS BARBER COLLEGE,15,0,1,1
28170733,LEONS BEAUTY SCHOOL INC,45,0,3,3
31015421,LESLEY UNIVERSITY,1065,0,71,71
25203722,L'ESPRIT ACADEMY,15,0,1,1
15610725,LESTERVILLE R IV HIGH SCHOOL,15,0,1,1
14000275,LETHBRIDGE COLLEGE,15,0,1,1
31029743,LETOURNEAU UNIVERSITY-LONGVIEW,2115,0,141,141
28007938,LEVITTOWN BEAUTY ACADEMY,15,0,1,1
31000737,LEWIS & CLARK COLLEGE,525,0,35,35
14936413,LEWIS AND CLARK COMMUNITY COLLEGE,1755,0,117,117
31906113,LEWIS UNIVERSITY,4455,0,297,297
31011131,LEWIS UNIVERSITY,585,0,39,39
11900112,LEWIS-CLARK STATE COLLEGE,2475,0,165,165
25503217,LEXINGTON HEALING ARTS ACADEMY,120,0,8,8
25527917,LEXINGTON SCHOOL FOR RECORDING ARTS,180,0,12,12
31507517,LEXINGTON THEOLOGICAL SEMINARY,45,0,3,3
21960162,LEYTE COLLEGES,15,0,1,1
25386232,LIA SCHORR INSTITUTE OF COSMETIC SKIN CARE TRAINING,15,0,1,1
15026406,LIBERTY HIGH SCHOOL,15,0,1,1
31926246,LIBERTY UNIVERSITY,156975,0,10465,10465
25022363,LICEO DE ARTE Y TECNOLOGIA,465,0,31,31
25002363,LICEO DE ARTE-DISENO Y COMERCIO,30,0,2,2
21057062,LICEO DE CAGAYAN UNIVERSITY,75,0,5,5
31108405,LIFE CHIROPRACTIC COLLEGE WEST,255,0,17,17
25159922,LIFE EMS AMBULANCE EDUCATION CENTRE,75,0,5,5
31509105,LIFE PACIFIC COLLEGE,240,0,16,16
35160522,LIFE SUPPORT TRAINING INSTITUTE OF BOTSFORD HOSPITAL,180,0,12,12
31908111,LIFE UNIVERSITY,1365,0,91,91
25566435,LIFECARE EMS TRAINING ACADEMY LORAIN COUNTY CC - CONSORTIUM,30,0,2,2
25008537,LIFETIME SCHOOL OF TATTOOING,15,0,1,1
25508514,LIL LOU'S BARBER COLLEGE,15,0,1,1
21333732,LIM COLLEGE,420,0,28,28
20075935,LIMA OHIO AREA ELECTRICIANS JATC,15,0,1,1
31000940,LIMESTONE COLLEGE,2370,0,158,158
31002440,LIMESTONE COLLEGE-CHARLESTON,405,0,27,27
31002140,LIMESTONE COLLEGE-COLUMBIA,1515,0,101,101
31930113,LINCOLN CHRISTIAN UNIVERSITY,360,0,24,24
34001113,LINCOLN COLLEGE,195,0,13,13
34975413,LINCOLN COLLEGE AT NORMAL,60,0,4,4
24916414,LINCOLN COLLEGE OF TECHNOLOGY,1515,0,101,101
21400020,LINCOLN COLLEGE OF TECHNOLOGY-COLUMBIA,1440,0,96,96
24910406,LINCOLN COLLEGE OF TECHNOLOGY-DENVER,4185,0,279,279
24036543,LINCOLN COLLEGE OF TECHNOLOGY-GRAND PRAIRIE,3930,0,262,262
24933411,LINCOLN COLLEGE OF TECHNOLOGY-MARIETTA,990,0,66,66
24983413,LINCOLN COLLEGE OF TECHNOLOGY-MELROSE PARK,570,0,38,38
24918442,LINCOLN COLLEGE OF TECHNOLOGY-NASHVILLE,4230,0,282,282
15481110,LINCOLN HIGH SCHOOL,15,0,1,1
14984413,LINCOLN LAND COMMUNITY COLLEGE,3795,0,253,253
31138805,LINCOLN LAW SCHOOL OF SACRAMENTO,45,0,3,3
31000742,LINCOLN MEMORIAL UNIVERSITY,1815,0,121,121
25043921,LINCOLN TECHNICAL INSTITUTE SOMERVILLE,105,0,7,7
24916438,LINCOLN TECHNICAL INSTITUTE-ALLENTOWN,225,0,15,15
25066513,LINCOLN TECHNICAL INSTITUTE-CHICAGO,15,0,1,1
28809007,LINCOLN TECHNICAL INSTITUTE-EAST WINDSOR,1230,0,82,82
26000730,LINCOLN TECHNICAL INSTITUTE-ISELIN,180,0,12,12
25102739,LINCOLN TECHNICAL INSTITUTE-LINCOLN,105,0,7,7
25002630,LINCOLN TECHNICAL INSTITUTE-MAHWAH,1080,0,72,72
26018530,LINCOLN TECHNICAL INSTITUTE-MOORESTOWN,315,0,21,21
28005007,LINCOLN TECHNICAL INSTITUTE-NEW BRITAIN,810,0,54,54
25011730,LINCOLN TECHNICAL INSTITUTE-PARAMUS,255,0,17,17
24918438,LINCOLN TECHNICAL INSTITUTE-PHILADELPHIA,270,0,18,18
28001530,LINCOLN TECHNICAL INSTITUTE-SOUTH PLAINFIELD,720,0,48,48
28024830,LINCOLN TECHNICAL INSTITUTE-UNION,1425,0,95,95
28574232,LINCOLN TECHNICAL INSTITUTE-WHITESTONE,885,0,59,59
14934413,LINCOLN TRAIL COLLEGE,525,0,35,35
11901125,LINCOLN UNIVERSITY,1560,0,104,104
11200099,LINCOLN UNIVERSITY,30,0,2,2
11000338,LINCOLN UNIVERSITY OF PENNSYLVANIA,705,3,44,47
35533035,LINCOLN WELDING SCHOOL,90,0,6,6
31100525,LINDENWOOD UNIVERSITY,7050,0,470,470
31045313,LINDENWOOD UNIVERSITY-BELLEVILLE,1710,0,114,114
25060943,LINDSEY COOPER REFRIGERATION SCHOOL INC,135,0,9,9
15141210,LINDSEY HOPKINS TECHNICAL COLLEGE,255,0,17,17
31509817,LINDSEY WILSON COLLEGE,795,0,53,53
31901148,LINDSEY WILSON COLLEGE,45,0,3,3
31801137,LINFIELD COLLEGE-MCMINNVILLE CAMPUS,675,0,45,45
31801237,LINFIELD COLLEGE-SCHOOL OF NURSING,180,0,12,12
11120669,LINGNAN UNIVERSITY,15,0,1,1
11200093,LINKOPING UNIVERSITY,15,0,1,1
14915437,LINN BENTON COMMUNITY COLLEGE,4800,0,320,320
31902942,LIPSCOMB UNIVERSITY,3285,0,219,219
15007104,LISA ACADEMY,15,0,1,1
14907426,LITTLE BIG HORN COLLEGE,120,0,8,8
14908127,LITTLE PRIEST TRIBAL COLLEGE,15,0,1,1
25029604,LITTLE ROCK K9 ACADEMY,90,0,6,6
15021904,LITTLE ROCK POLICE DEPARTMENT TRAINING ACADEMY,150,0,10,10
31870032,LIU BROOKLYN,2655,0,177,177
31870332,LIU HUDSON AT ROCKLAND,30,0,2,2
31870432,LIU HUDSON AT WESTCHESTER,15,0,1,1
31870532,LIU POST,1515,0,101,101
31870932,LIU-RIVERHEAD,75,0,5,5
15141610,LIVELY TECHNICAL CENTER,765,0,51,51
11203074,LIVERPOOL JOHN MOORES UNIVERSITY,15,0,1,1
11204774,LIVERPOOL SCHOOL OF TROPICAL MEDICINE,15,0,1,1
24907433,LIVING ARTS COLLEGE,315,0,21,21
24911933,LIVING ARTS INSTITUTE AT SCHOOL OF COMMUNICATION ARTS,30,0,2,2
31002033,LIVINGSTONE COLLEGE,675,0,45,45
25026003,LOAD TRAINING LLC,30,0,2,2
11009738,LOCK HAVEN UNIVERSITY,2160,0,144,144
25080113,LOCKHART'S BARBER COLLEGE,30,0,2,2
15141710,LOCKLIN TECHNICAL COLLEGE,555,0,37,37
25518617,LOCKMASTERS SECURITY INSTITUTE INC,150,0,10,10
31105125,LOGAN UNIVERSITY,840,0,56,56
31058010,LOGOS CHRISTIAN COLLEGE,15,0,1,1
31912105,LOMA LINDA UNIVERSITY,1215,0,81,81
32510705,LOMA LINDA UNIVERSITY MEDICAL CENTER,15,0,1,1
11205274,LONDON BUSINESS SCHOOL,120,0,8,8
11105574,LONDON METROPOLITAN UNIVERSITY,120,0,8,8
11002274,LONDON SCHOOL OF ECONOMICS,180,0,12,12
11201974,LONDON SCHOOL OF HYGIENE & TROPICAL MEDICINE,30,0,2,2
11100874,LONDON SOUTH BANK UNIVERSITY,60,0,4,4
14974443,LONE STAR COLLEGE SYSTEM,35415,0,2361,2361
14965405,LONG BEACH CITY COLLEGE,10560,5,699,704
28399732,LONG ISLAND BEAUTY SCHOOL-HAUPPAUGE,15,0,1,1
24801432,LONG ISLAND BUSINESS INSTITUTE-FLUSHING,285,0,19,19
25387932,LONG ISLAND NAIL SKIN AND HAIR INSTITUTE,30,0,2,2
13000346,LONGWOOD UNIVERSITY,3195,0,213,213
31002521,LONGY SCHOOL OF MUSIC OF BARD COLLEGE,15,0,1,1
14975435,LORAIN COUNTY COMMUNITY COLLEGE,4110,0,274,274
15555135,LORAIN COUNTY JOINT VOCATIONAL SCHOOL DISTRICT,30,0,2,2
28103810,LORAINE'S ACADEMY & SPA,60,0,4,4
31001215,LORAS COLLEGE,375,0,25,25
14930646,LORD FAIRFAX COMMUNITY COLLEGE-WARRENTON,2865,0,191,191
31123584,LORENZO DE MEDICI,30,0,2,2
18143010,LORENZO WALKER TECHNICAL COLLEGE,195,0,13,13
21100062,LORMA COLLEGES,30,0,2,2
28034962,LORRAINE TECHNICAL SCHOOL,240,0,16,16
25104062,LORRAINE TECHNICAL SCHOOL - GUAGUA,75,0,5,5
21117405,LOS ANGELES ACADEMY OF FIGURATIVE ART,30,0,2,2
149A1405,LOS ANGELES CITY COLLEGE,3480,0,232,232
24005905,LOS ANGELES COLLEGE OF MUSIC,225,0,15,15
12910405,LOS ANGELES COUNTY COLLEGE OF NURSING AND ALLIED HEALTH,15,0,1,1
30565705,LOS ANGELES COUNTY ELECTRICAL JAC AND ED TNG TRUST,30,0,2,2
14900405,LOS ANGELES HARBOR COLLEGE,1770,0,118,118
14938405,LOS ANGELES MISSION COLLEGE,1545,0,103,103
34000705,LOS ANGELES ORT COLLEGE-LOS ANGELES CAMPUS,15,0,1,1
24945705,LOS ANGELES PACIFIC COLLEGE,15,0,1,1
31014705,LOS ANGELES PACIFIC UNIVERSITY,2205,0,147,147
14976405,LOS ANGELES PIERCE COLLEGE,3630,0,242,242
14901405,LOS ANGELES SOUTHWEST COLLEGE,1080,0,72,72
14931405,LOS ANGELES TRADE TECHNICAL COLLEGE,4470,0,298,298
14924405,LOS ANGELES VALLEY COLLEGE,3390,0,226,226
14912405,LOS MEDANOS COLLEGE,4845,0,323,323
25036346,LOTUS SCHOOL OF INTEGRATED PROFESSIONS INC,45,0,3,3
15038346,LOUDOUN COUNTY DEPARTMENT OF FIRE-RESCUE- EMERGENCY MANAGEMENT,15,0,1,1
11100674,LOUGHBOROUGH UNIVERSITY,30,0,2,2
34903433,LOUISBURG COLLEGE,420,0,28,28
31904118,LOUISIANA COLLEGE,690,0,46,46
25061418,LOUISIANA CULINARY INSTITUTE,330,0,22,22
14000818,LOUISIANA DELTA COMMUNITY COLLEGE MONROE,1800,1,119,120
14811418,LOUISIANA DELTA COMMUNITY COLLEGE RUSTON,150,0,10,10
14811518,LOUISIANA DELTA COMMUNITY COLLEGE TALLULAH,105,0,7,7
14812218,LOUISIANA DELTA COMMUNITY COLLEGE WEST MONROE,675,0,45,45
14811318,LOUISIANA DELTA COMMUNITY COLLEGE WINNSBORO,60,0,4,4
25060418,LOUISIANA INSTITUTE OF MASSAGE THERAPY,30,0,2,2
18017118,LOUISIANA STATE POLICE TRAINING ACADEMY,120,0,8,8
15801418,LOUISIANA STATE UNIVERSITY CARROL L HERRING FIRE & EMERGENCY TRAINING,15,0,1,1
11802118,LOUISIANA STATE UNIVERSITY HEALTH SCIENCE CENTER-NEW ORLEANS,825,0,55,55
11802218,LOUISIANA STATE UNIVERSITY HEALTH SCIENCE CENTER-SHREVEPORT,285,0,19,19
11800318,LOUISIANA STATE UNIVERSITY-ALEXANDRIA,2235,0,149,149
11800118,LOUISIANA STATE UNIVERSITY-BATON ROUGE,15525,0,1035,1035
11800418,LOUISIANA STATE UNIVERSITY-EUNICE,1515,0,101,101
11800918,LOUISIANA STATE UNIVERSITY-SHREVEPORT,6465,0,431,431
11001718,LOUISIANA TECH UNIVERSITY RUSTON,6045,0,403,403
11026418,LOUISIANA TECH UNIVERSITY-BARKSDALE AFB,810,0,54,54
25528617,LOUISVILLE SCHOOL OF MASSAGE,75,0,5,5
31007835,LOURDES UNIVERSITY,630,0,42,42
25033042,LOVE BEAUTY SCHOOL INC,15,0,1,1
18076940,LOWCOUNTRY REGIONAL EMS COUNCIL,60,0,4,4
15052221,LOWELL MUNICIPAL POLICE ACADEMY,30,0,2,2
14910447,LOWER COLUMBIA COLLEGE,2310,0,154,154
15091943,LOWER RIO GRANDE VALLEY DEV CO REG POLICE ACAD,150,0,10,10
31504205,LOYOLA MARYMOUNT UNIVERSITY,1560,0,104,104
31506305,LOYOLA MARYMOUNT UNIVERSITY LAW SCHOOL,225,0,15,15
31902113,LOYOLA UNIVERSITY CHICAGO,3840,0,256,256
31049013,LOYOLA UNIVERSITY CHICAGO MAYWOOD CAMPUS,15,0,1,1
31906120,LOYOLA UNIVERSITY MARYLAND,1575,0,105,105
32051213,LOYOLA UNIVERSITY MEDICAL CENTER EMERGENCY MEDICAL SERVICES,30,0,2,2
31000718,LOYOLA UNIVERSITY NEW ORLEANS,2070,0,138,138
25149705,LTS CAREER TRAINING,390,0,26,26
30002047,LU 112-NECA ELECTRICAL JATC,15,0,1,1
25140605,LU ROSS ACADEMY,225,0,15,15
31002343,LUBBOCK CHRISTIAN UNIVERSITY,975,0,65,65
25047943,LUBBOCK HAIR ACADEMY,90,0,6,6
25058346,LUCKES BEAUTY ACADEMY,90,0,6,6
11203380,LUDWIG-MAXIMILIANS-UNIVERSITAT,15,0,1,1
25121943,LUFKIN TRUCK DRIVING ACADEMY,30,0,2,2
14909431,LUNA COMMUNITY COLLEGE,525,0,35,35
11000293,LUND UNIVERSITY,15,0,1,1
14002701,LURLEEN B WALLACE COMMUNITY COLLEGE-ANDALUSIA,540,0,36,36
14800601,LURLEEN B WALLACE COMMUNITY COLLEGE-GREENVILLE,195,0,13,13
14800801,LURLEEN B WALLACE COMMUNITY COLLEGE-OPP-MACARTHUR CAMPUS,585,0,39,39
31001315,LUTHER COLLEGE,300,0,20,20
31004011,LUTHER RICE UNIVERSITY,1110,0,74,74
31003023,LUTHER SEMINARY,165,0,11,11
31901123,LUTHERAN BRETHREN SEMINARY,45,0,3,3
32986525,LUTHERAN SCHOOL OF NURSING,45,0,3,3
31033913,LUTHERAN SCHOOL OF THEOLOGY AT CHICAGO,75,0,5,5
14924438,LUZERNE COUNTY COMMUNITY COLLEGE,2250,0,150,150
21076062,"LYCEUM NORTHERN LUZON, INC.",30,0,2,2
21109062,"LYCEUM NORTHWESTERN UNIV. - F. T. DUQUE COLLEGE, INC.",15,0,1,1
21154062,"LYCEUM OF SUBIC BAY, INC.",465,0,31,31
21923162,LYCEUM OF THE PHILIPPINES - MANILA,75,0,5,5
21035762,LYCEUM OF THE PHILIPPINES UNIVERSITY - BATANGAS,45,0,3,3
21194062,LYCEUM OF THE PHILIPPINES UNIVERSITY - CAVITE,120,0,8,8
21934162,LYCEUM-NORTHWESTERN UNIVERSITY,165,0,11,11
31008438,LYCOMING COLLEGE,225,0,15,15
25809105,LYLE'S COLLEGE OF BEAUTY,30,0,2,2
25023602,LYNDEN TRAINING CENTER,15,0,1,1
11920621,LYNDON STATE COLLEGE AT NORTHERN ESSEX COMMUNITY COLLEGE,30,0,2,2
31958110,LYNN UNIVERSITY,1515,0,101,101
25002234,LYNNES WELDING TRAINING INC,105,0,7,7
25002534,LYNNES WELDING TRAINING INC-BISMARCK,30,0,2,2
31000204,LYON COLLEGE,315,0,21,21
28370005,LYTLES REDWOOD EMPIRE BEAUTY COLLEGE INC,30,0,2,2
11200378,MAASTRICHT UNIVERSITY,75,0,5,5
25576535,MACAIR AVIATION,90,0,6,6
31001123,MACALESTER COLLEGE,150,0,10,10
34036013,MACCORMAC COLLEGE,135,0,9,9
31200269,MACHON MEIR,15,0,1,1
31002013,MACMURRAY COLLEGE,180,0,12,12
14806122,MACOMB COMMUNITY COLLEGE,8280,0,552,552
15527425,MACON AREA CAREER & TECHNICAL EDUCATION CENTER,15,0,1,1
15027413,MACON COUNTY LAW ENFORCEMENT TRAINING CENTER,180,0,12,12
11100570,MACQUARIE UNIVERSITY,135,0,9,9
15548135,MADISON ADULT CAREER CENTER,75,0,5,5
14902149,MADISON AREA TECHNICAL COLLEGE,7470,1,497,498
21002949,MADISON MEDIA INSTITUTE,60,0,4,4
18560432,MADISON ONEIDA BOCES-PRACTICAL NURSING PROGRAM,60,0,4,4
14942417,MADISONVILLE COMMUNITY COLLEGE,1515,0,101,101
31932122,MADONNA UNIVERSITY,1140,0,76,76
11120769,MAE FAH LUANG UNIVERSITY,15,0,1,1
31949162,MAGSAYSAY MEMORIAL COLLEGE OF ZAMBALES INC,135,0,9,9
31004615,MAHARISHI UNIVERSITY OF MANAGEMENT,255,0,17,17
11200369,MAHASARAKHAM UNIVERSITY,15,0,1,1
11192669,MAHIDOL UNIVERSITY,30,0,2,2
15533635,MAHONING COUNTY CAREER AND TECHNICAL CENTER,45,0,3,3
25209822,MAIN STREET SCHOOL OF COSMETOLOGY,15,0,1,1
31012319,MAINE COLLEGE OF ART,105,0,7,7
32000419,MAINE COLLEGE OF HEALTH PROFESSIONS,180,0,12,12
15021419,MAINE CRIMINAL JUSTICE ACADEMY,150,0,10,10
25027519,MAINE ENERGY MARKETERS ASSOCIATION,180,0,12,12
28014719,MAINE INSTRUMENT FLIGHT,30,0,2,2
11000919,MAINE MARITIME ACADEMY,1080,0,72,72
35000019,MAINE MEDIA WORKSHOPS AND MAINE MEDIA COLLEGE,45,0,3,3
32901719,MAINE MEDICAL CENTER SCHOOL OF SURGICAL TECHNOLOGY,60,0,4,4
25216264,MAKANA ESTHETICS,180,0,12,12
21190062,MAKATI MEDICAL CENTER COLLEGE OF NURSING INC,15,0,1,1
25391932,MAKE-UP DESIGNORY,270,0,18,18
25117705,MAKE-UP DESIGNORY,60,0,4,4
11000393,MALARDALEN UNIVERSITY,15,0,1,1
11123993,MALMO UNIVERSITY,15,0,1,1
31514235,MALONE UNIVERSITY,600,0,40,40
15142210,MANATEE TECHNICAL COLLEGE,1320,0,88,88
14999407,MANCHESTER COMMUNITY COLLEGE,3285,0,219,219
14905029,MANCHESTER COMMUNITY COLLEGE,2520,0,168,168
11000574,MANCHESTER METROPOLITAN UNIVERSITY,45,0,3,3
31001214,MANCHESTER UNIVERSITY,285,0,19,19
25004844,MANDALYN ACADEMY,15,0,1,1
249B3432,MANDL SCHOOL-THE COLLEGE OF ALLIED HEALTH,195,0,13,13
14926116,MANHATTAN AREA TECHNICAL COLLEGE,1605,0,107,107
31003616,MANHATTAN CHRISTIAN COLLEGE,270,0,18,18
31002532,MANHATTAN COLLEGE,2430,0,162,162
25802432,MANHATTAN INSTITUTE,15,0,1,1
25806132,MANHATTAN INSTITUTE INC,525,0,35,35
25335432,MANHATTAN SCHOOL OF COMPUTER TECHNOLOGY,15,0,1,1
319C6132,MANHATTAN SCHOOL OF MUSIC,75,0,5,5
31907132,MANHATTANVILLE COLLEGE,375,0,25,25
21921162,MANILA CENTRAL UNIVERSITY - EDSA,15,0,1,1
21135062,MANILA TYTANA COLLEGES,15,0,1,1
11102280,MANNHEIM BUSINESS SCHOOL,15,0,1,1
349D2438,MANOR COLLEGE,240,0,16,16
11913138,MANSFIELD UNIVERSITY OF PENNSYLVANIA,1170,0,78,78
21038562,MAPUA INSTITUTE OF TECHNOLOGY - MANILA,15,0,1,1
31008649,MARANATHA BAPTIST UNIVERSITY,615,0,41,41
21200678,MARBELLA INTERNATIONAL,15,0,1,1
34990432,MARIA COLLEGE OF ALBANY,210,0,14,14
35058513,MARIAN CATHOLIC HIGH SCHOOL,15,0,1,1
31905114,MARIAN UNIVERSITY,990,0,66,66
31009949,MARIAN UNIVERSITY,780,0,52,52
11018462,MARIANO MARCOS STATE UNIVERSITY,15,0,1,1
31004935,MARIETTA COLLEGE,360,0,24,24
15609925,MARION COUNTY AMBULANCE DISTRICT,45,0,3,3
18020248,MARION COUNTY COMMUNITY TECHNICAL AND ADULT EDUCATION CENTER,15,0,1,1
20499614,MARION KOKOMO ELECTRICIANS JATC,30,0,2,2
14943101,MARION MILITARY INSTITUTE,870,0,58,58
149E9435,MARION TECHNICAL COLLEGE,840,0,56,56
15472410,MARION TECHNICAL COLLEGE,570,0,38,38
31909132,MARIST COLLEGE,1215,0,81,81
31909232,MARIST COLLEGE-ROME CAMPUS,60,0,4,4
35063613,MARIST HIGH SCHOOL,15,0,1,1
21100186,MARIST UNIV OF GUADALAJARA,15,0,1,1
25201920,MARITIME INSTITUTE OF TECHNOLOGY,30,0,2,2
25107964,MARITIME LICENSE CENTER,15,0,1,1
25478410,MARITIME PROFESSIONAL TRAINING,900,0,60,60
31000945,MARLBORO COLLEGE,30,0,2,2
31000449,MARQUETTE UNIVERSITY,2070,0,138,138
