Two-Digit Series,2010 CIP Code,CIP Code Title
15,15.0406,Automation Engineer Technology/Technician
15,15.0499,"Electromechanical and Instrumentation and Maintenance Technologies/Technicians, Other"
15,15.0501,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician"
15,15.0503,Energy Management and Systems Technology/Technician
15,15.0505,Solar Energy Technology/Technician
15,15.0506,Water Quality and Wastewater Treatment Management and Recycling Technology/Technician
15,15.0507,Environmental Engineering Technology/Environmental Technology
15,15.0508,Hazardous Materials Management and Waste Technology/Technician
15,15.0599,"Environmental Control Technologies/Technicians, Other"
15,15.0607,Plastics and Polymer Engineering Technology/Technician
15,15.0611,Metallurgical Technology/Technician
15,15.0612,Industrial Technology/Technician
15,15.0613,Manufacturing Engineering Technology/Technician
15,15.0614,Welding Engineering Technology/Technician
15,15.0615,Chemical Engineering Technology/Technician
15,15.0616,Semiconductor Manufacturing Technology
15,15.0699,"Industrial Production Technologies/Technicians, Other"
15,15.0701,Occupational Safety and Health Technology/Technician
15,15.0702,Quality Control Technology/Technician
15,15.0703,Industrial Safety Technology/Technician
15,15.0704,Hazardous Materials Information Systems Technology/Technician
15,15.0799,"Quality Control and Safety Technologies/Technicians, Other"
15,15.0801,Aeronautical/Aerospace Engineering Technology/Technician
15,15.0803,Automotive Engineering Technology/Technician
15,15.0805,Mechanical Engineering/Mechanical Technology/Technician
15,15.0899,"Mechanical Engineering Related Technologies/Technicians, Other"
15,15.0901,Mining Technology/Technician
15,15.0903,Petroleum Technology/Technician
15,15.0999,"Mining and Petroleum Technologies/Technicians, Other"
15,15.1001,Construction Engineering Technology/Technician
15,15.1102,Surveying Technology/Surveying
15,15.1103,Hydraulics and Fluid Power Technology/Technician
15,15.1199,"Engineering-Related Technologies, Other"
15,15.1201,Computer Engineering Technology/Technician
15,15.1202,Computer Technology/Computer Systems Technology
15,15.1203,Computer Hardware Technology/Technician
15,15.1204,Computer Software Technology/Technician
15,15.1299,"Computer Engineering Technologies/Technicians, Other"
15,15.1301,"Drafting and Design Technology/Technician, General"
15,15.1302,CAD/CADD Drafting and/or Design Technology/Technician
15,15.1303,Architectural Drafting and Architectural CAD/CADD
15,15.1304,Civil Drafting and Civil Engineering CAD/CADD
15,15.1305,Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD
15,15.1306,Mechanical Drafting and Mechanical Drafting CAD/CADD
15,15.1399,"Drafting/Design Engineering Technologies/Technicians, Other"
15,15.1401,Nuclear Engineering Technology/Technician
15,15.1501,Engineering/Industrial Management
15,15.1502,Engineering Design
15,15.1503,Packaging Science
15,15.1599,"Engineering-Related Fields, Other"
15,15.1601,Nanotechnology
15,15.9999,"Engineering Technologies and Engineering-Related Fields, Other"
28,28.0501,Air Science/Airpower Studies
28,28.0502,Air and Space Operational Art and Science
28,28.0505,Naval Science and Operational Studies
29,29.0201,"Intelligence, General"
29,29.0202,Strategic Intelligence
29,29.0203,Signal/Geospatial Intelligence
29,29.0204,"Command & Control (C3, C4I) Systems and Operations"
29,29.0205,Information Operations/Joint Information Operations
29,29.0206,Information/Psychological Warfare and Military Media Relations
29,29.0207,Cyber/Electronic Operations and Warfare
29,29.0299,"Intelligence, Command Control and Information Operations, Other"
29,29.0301,Combat Systems Engineering
29,29.0302,Directed Energy Systems
29,29.0303,Engineering Acoustics
29,29.0304,Low-Observables and Stealth Technology
29,29.0305,Space Systems Operations
29,29.0306,Operational Oceanography
29,29.0307,Undersea Warfare
29,29.0399,"Military Applied Sciences, Other"
29,29.0401,Aerospace Ground Equipment Technology
29,29.0402,Air and Space Operations Technology
29,29.0403,Aircraft Armament Systems Technology
29,29.0404,Explosive Ordinance/Bomb Disposal
29,29.0405,"Joint Command/Task Force (C3, C4I) Systems"
29,29.0406,Military Information Systems Technology
29,29.0407,Missile and Space Systems Technology
29,29.0408,Munitions Systems/Ordinance Technology
29,29.0409,Radar Communications and Systems Technology
29,29.0499,"Military Systems and Maintenance Technology, Other"
29,29.9999,"Military Technologies and Applied Sciences, Other"
30,30.0101,Biological and Physical Sciences
30,30.0601,Systems Science and Theory
30,30.0801,Mathematics and Computer Science
30,30.1001,Biopsychology
30,30.1701,Behavioral Sciences
30,30.1801,Natural Sciences
30,30.1901,Nutrition Sciences
30,30.2501,Cognitive Science
30,30.2701,Human Biology
30,30.3001,Computational Science
30,30.3101,Human Computer Interaction
30,30.3201,Marine Sciences
30,30.3301,Sustainability Studies
41,41,"Science Technologies/Technicians, General"
41,41.0101,Biology Technician/Biotechnology Laboratory Technician
41,41.0204,Industrial Radiologic Technology/Technician
41,41.0205,Nuclear/Nuclear Power Technology/Technician
41,41.0299,"Nuclear and Industrial Radiologic Technologies/Technicians, Other"
41,41.0301,Chemical Technology/Technician
41,41.0303,Chemical Process Technology
41,41.0399,"Physical Science Technologies/Technicians, Other"
41,41.9999,"Science Technologies/Technicians, Other"
42,42.2701,Cognitive Psychology and Psycholinguistics
42,42.2702,Comparative Psychology
42,42.2703,Developmental and Child Psychology
42,42.2704,Experimental Psychology
42,42.2705,Personality Psychology
42,42.2706,Physiological Psychology/Psychobiology
42,42.2707,Social Psychology
42,42.2708,Psychometrics and Quantitative Psychology
42,42.2709,Psychopharmacology
42,42.2799,"Research and Experimental Psychology, Other"
43,43.0106,Forensic Science and Technology
43,43.0116,Cyber/Computer Forensics and Counterterrorism
45,45.0301,Archeology
45,45.0603,Econometrics and Quantitative Economics
45,45.0702,Geographic Information Science and Cartography
49,49.0101,"Aeronautics/Aviation/Aerospace Science and Technology, General"
51,51.1002,Cytotechnology/Cytotechnologist
51,51.1005,Clinical Laboratory Science/Medical Technology/Technologist
51,51.1401,Medical Scientist
51,51.2003,Pharmaceutics and Drug Design
51,51.2004,Medicinal and Pharmaceutical Chemistry
51,51.2005,Natural Products Chemistry and Pharmacognosy
51,51.2006,Clinical and Industrial Drug Development
51,51.2007,Pharmacoeconomics/Pharmaceutical Economics
51,51.2009,Industrial and Physical Pharmacy and Cosmetic Sciences
51,51.201,Pharmaceutical Sciences
51,51.2202,Environmental Health
51,51.2205,Health/Medical Physics
51,51.2502,Veterinary Anatomy
51,51.2503,Veterinary Physiology
51,51.2504,Veterinary Microbiology and Immunobiology
51,51.2505,Veterinary Pathology and Pathobiology
14,14.XXXX,Engineering
26,26.XXXX,Biological and Biomedical Sciences
27,27.XXXX,Mathematics and Statistics
40,40.XXXX,Physical Sciences
