dapipid,agencyid,agencyname,programid,programname,sequentialid,actiondescription,actiondate,justificationdescription,justificationother,enddate
122825005,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
123794002,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
128629023,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
128629023,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Loss of Accreditation or Preaccreditation: Voluntary Withdrawal,,Other - Provide unlisted or multiple justifications,Program submitted a teach out plan that is in compliance with agency's policies,
149754027,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
206880002,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
192785,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
192785,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Grant Substantive Change: Other,,Is in compliance with all of the agency's accreditation standards,,
192794,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
192819,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
192846,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
192855,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
192916,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
192925,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
192934,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Grant Substantive Change: Other,,Is in compliance with all of the agency's accreditation standards,,
193025,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
193034,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Grant Substantive Change: Other,,Is in compliance with all of the agency's accreditation standards,,
193229,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
193283,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
193371,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
192536,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
192572,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
192581,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
192581,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Grant Substantive Change: Degree,,Is in compliance with all of the agency's accreditation standards,,
192590,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Additional oversight is required to ensure a resolution of compliance issues,,
192633,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
192679,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
192697,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
192730,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
193344,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
195340,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
196200,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
176381,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Additional oversight is required to ensure a resolution of compliance issues,,
181224,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Grant Substantive Change: Other,,Is in compliance with all of the agency's accreditation standards,,
181969,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
159504,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
165787,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Probation or Equivalent or a More Severe Status: Probation,,Additional oversight is required to ensure a resolution of compliance issues,,
166212,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Probation or Equivalent or a More Severe Status: Probation,,Additional oversight is required to ensure a resolution of compliance issues,,
166212,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Loss of Accreditation or Preaccreditation: Denial,,Significantly out of compliance - student achievement,,
197771,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Additional oversight is required to ensure a resolution of compliance issues,,
213011,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
214166,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
219824,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
219833,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Loss of Accreditation or Preaccreditation: Voluntary Withdrawal,,Other - Provide unlisted or multiple justifications,Institution no longer wishes to offer an accredited program.,
219833,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,2,Loss of Accreditation or Preaccreditation: Voluntary Withdrawal,,Other - Provide unlisted or multiple justifications,Institution no longer wishes to offer an accredited program.,
220057,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
220905,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
221786,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Additional oversight is required to ensure a resolution of compliance issues,,
221786,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
223612,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Initial Accreditation,,Is in compliance with all of the agency's accreditation standards,,
225584,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
229984,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
151467,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Additional oversight is required to ensure a resolution of compliance issues,,
152424,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
156569,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
150400,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
150491,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
150491,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Grant Substantive Change: Other,,Is in compliance with all of the agency's accreditation standards,,
150552,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
149444,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
149754,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Additional oversight is required to ensure a resolution of compliance issues,,
149754,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
148229,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
148292,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
148779,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
146506,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
146533,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
145901,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Additional oversight is required to ensure a resolution of compliance issues,,
145901,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
141990,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
