Institutions on HCM1 or HCM2 as of 12-1-2015,,,,,,,
Source: PEPS,,,,,,,
OPE ID,Institution Name,City,State,Country,Institution Type,Stop Pay/Monitor Method,Method Reason Desc
03813300,Northcentral University,Prescott Valley,AZ,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04051300,Art Institute of Phoenix (The),Phoenix,AZ,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00112300,Brooks Institute,Ventura,CA,,Proprietary,HCM - Cash Monitoring 1,Administrative Capability
00747600,Marinello Schools of Beauty,Los Angeles,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review
00760700,Concorde Career College,North Hollywood,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00793000,Concorde Career College,San Diego,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00807100,Concorde Career College,Garden Grove,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00853700,Concorde Career College,San Bernardino,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00903200,Empire College,Santa Rosa,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00998900,Santa Barbara Business College,Ventura,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
01047400,Marymount California University,Rancho Palos Verdes,CA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
01085400,Thomas Jefferson School of Law,San Diego,CA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
01162600,Westwood College - South Bay,Torrance,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
01265000,Marinello School of Beauty,Burbank,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review
01307400,American Beauty College,West Covina,CA,,Proprietary,HCM - Cash Monitoring 2,Other -CIO Problems (Eligibility)
02054900,Marinello School of Beauty,Lake Forest,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review
02059800,Paris Beauty College,Concord,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review - Severe Findings
02086400,Marinello School of Beauty,Santa Clara,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review
02110800,California College San Diego,San Diego,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02179900,Argosy University,Orange,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02220200,California Culinary Academy,San Francisco,CA,,Proprietary,HCM - Cash Monitoring 1,Administrative Capability
02221300,Marinello School of Beauty,Moreno Valley,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review
02237200,Phillips Graduate Institute,Chatsworth,CA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
02332800,Center for Employment Training,San Jose,CA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Provisional Certification
02338700,Marinello School of Beauty,San Francisco,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review
02342400,Academy of Radio & TV Broadcasting,Huntington Beach,CA,,Proprietary,HCM - Cash Monitoring 2,Financial Responsibility
02570300,Los Angeles ORT Technical Institute,Los Angeles,CA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
02577900,Santa Barbara Business College,Bakersfield,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02578000,Santa Barbara Business College,Santa Maria,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02596400,Spartan College of Aeronautics & Technology,Inglewood,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03043900,NewSchool of Architecture and Design,San Diego,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03072700,Westwood College - Los Angeles,Los Angeles,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03094400,Marinello School of Beauty,Sacramento,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review
03108100,Summit College,Colton,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03210300,Le Cordon Bleu College of Culinary Arts,Pasadena,CA,,Proprietary,HCM - Cash Monitoring 1,Administrative Capability
03467300,Marinello School of Beauty,Hemet,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review
03614300,David's Academy of Beauty,Pico Rivera,CA,,Proprietary,HCM - Cash Monitoring 2,Accreditation Problems
03874400,Community Christian College,Redlands,CA,,"Private, Nonprofit",HCM - Cash Monitoring 2,Accreditation Problems
03973300,Ex'pression College,Emeryville,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04092400,Make-Up Designory,Burbank,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04127900,Trident University International,Cypress,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04132700,InfoTech Career College,Paramount,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review - Severe Findings
04134500,San Diego College,San Diego,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04134700,International Professional School of Bodywork,San Diego,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04145000,San Diego Culinary Institute,La Mesa,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04145600,International College of Cosmetology,Oakland,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04148900,Northern California Institute of Cosmetology,San Leandro,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04161300,Preferred College of Nursing,Van Nuys,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04172000,Southern California University SOMA,Los Angeles,CA,,Proprietary,HCM - Cash Monitoring 2,Accreditation Problems
04181600,Integrity College of Health,Pasadena,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04190800,Santa Ana Beauty College,Santa Ana,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00729700,Redstone College,Broomfield,CO,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00754800,Westwood College - Denver North,Denver,CO,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00887100,Concorde Career College,Aurora,CO,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
01014800,Colorado Technical University,Colorado Springs,CO,,Proprietary,HCM - Cash Monitoring 1,Administrative Capability
02078900,Art Institute of Colorado (The),Denver,CO,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02267500,Glenwood Beauty Academy,Glenwood Springs,CO,,Proprietary,HCM - Cash Monitoring 2,Program Review - Severe Findings
02594300,CollegeAmerica Denver,Denver,CO,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03776300,Auguste Escoffier School of Culinary Arts,Boulder,CO,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04080300,Aspen University,Denver,CO,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04093300,Academy of Natural Therapy,Greeley,CO,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04184900,College of International Esthetics,Arvada,CO,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04185400,National Personal Training Institute of Colorado,Lakewood,CO,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00730300,Lincoln Technical Institute,New Britain,CT,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00887400,Marinello School of Beauty,Meriden,CT,,Proprietary,HCM - Cash Monitoring 2,Program Review
00940700,Lincoln College of New England,Southington,CT,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
01041700,Marinello School of Beauty,East Hartford,CT,,Proprietary,HCM - Cash Monitoring 2,Program Review
03316300,Lincoln Technical Institute - Hartford,Hartford,CT,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03927300,Marinello School of Beauty,Niantic,CT,,Proprietary,HCM - Cash Monitoring 2,Program Review
04104300,Academy Di Capelli,Wallingford,CT,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02132800,National Conservatory of Dramatic Arts,Washington,DC,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
03409600,Bennett Career Institute,Washington,DC,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04190000,Radians College,Washington,DC,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04202500,Graduate School,Washington,DC,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00154000,Webber International University,Babson Park,FL,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00887800,Miami International University of Art & Design,Miami,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00910400,TONI&GUY Hairdressing Academy,Jacksonville,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
01019500,Art Institute of Fort Lauderdale (The),Fort Lauderdale,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
01082600,Tom P. Haney Technical Center,Panama City,FL,,Public,HCM - Cash Monitoring 1,Financial Responsibility
02089600,Concorde Career Institute,Jacksonville,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02151900,Keiser University,Fort Lauderdale,FL,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
02156300,Margate School of Beauty,Margate,FL,,Proprietary,HCM - Cash Monitoring 2,Administrative Capability
02172700,Concorde Career Institute,Tampa,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02188900,Hobe Sound Bible College,Hobe Sound,FL,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
02245500,Fortis College,Winter Park,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02275100,Concorde Career Institute,Miramar,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02278800,Southern Technical College,Fort Myers,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02305800,Florida Career College,Miami,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02329900,Florida Institute of Ultrasound,Pensacola,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02616400,Sanford-Brown Institute,Jacksonville,FL,,Proprietary,HCM - Cash Monitoring 1,Administrative Capability
03031400,International Academy of Design and Technology,Tampa,FL,,Proprietary,HCM - Cash Monitoring 1,Administrative Capability
03089200,Nouvelle Institute,Miami,FL,,Proprietary,HCM - Cash Monitoring 1,Other (Common Ownership)
03100800,Taylor Technical Institute,Perry,FL,,Public,HCM - Cash Monitoring 2,Program Review - Severe Findings
03108500,Everglades University,Boca Raton,FL,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
03113400,"Academy of Healing Arts, Massage & Facial Skin Care",Lake Worth,FL,,Proprietary,HCM - Cash Monitoring 2,Other -CIO Problems (Eligibility)
03123900,Southeastern College,West Palm Beach,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03125600,Miami Ad School,Miami,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03348400,Mattia College,Miami,FL,,Proprietary,HCM - Cash Monitoring 2,Program Review
03373300,Beacon College,Leesburg,FL,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
03390300,Lincoln Technical Institute,Fern Park,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03414500,Acupuncture and Massage College,Miami,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03434300,Fortis College,Orange Park,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03553300,Southeastern College,Jacksonville,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03691400,Ave Maria School of Law,Naples,FL,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
03856500,Florida School of Traditional Midwifery,Gainesville,FL,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
03903500,Southern Technical College,Orlando,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04116600,Taylor College,Belleview,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04135000,Cozmo The School,Bonita Springs,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04157100,Aerosim Flight Academy,Sanford,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04162000,Jose Maria Vargas University,Pembroke Pines,FL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04164500,Eureka Institute of Health and Beauty,Miami,FL,,Proprietary,HCM - Cash Monitoring 2,Administrative Capability
04207900,SAE Institute of Technology - Miami,North Miami Beach,FL,,Proprietary,HCM - Cash Monitoring 2,Administrative Capability
04210800,Ultrasound Medical Institute,Royal Palm Beach,FL,,Proprietary,HCM - Cash Monitoring 2,Audit Late/Missing
04216600,Azure College,Miami Gardens,FL,,Proprietary,HCM - Cash Monitoring 2,Administrative Capability
00156300,Emmanuel College,Franklin Springs,GA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00927000,Art Institute of Atlanta (The),Atlanta,GA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
01303900,South University,Savannah,GA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02116000,Sanford-Brown College,Atlanta,GA,,Proprietary,HCM - Cash Monitoring 1,Administrative Capability
02266200,Helms Career Institute,Macon,GA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
02285500,Creative Circus (The),Atlanta,GA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02520000,International School of Skin and Nailcare,Atlanta,GA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02577700,Beauty College of America,Forest Park,GA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03104500,Atlanta Institute of Music and Media,Duluth,GA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03635300,Carver Bible College,Atlanta,GA,,"Private, Nonprofit",HCM - Cash Monitoring 2,Program Review - Severe Findings
04160200,Atlanta Beauty & Barber Academy,Doraville,GA,,Proprietary,HCM - Cash Monitoring 2,Accreditation Problems
02100300,Med-Assist School of Hawaii,Honolulu,HI,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00187100,Iowa Wesleyan College,Mount Pleasant,IA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00765800,American College of Hairstyling-Des Moines,Des Moines,IA,,Proprietary,HCM - Cash Monitoring 2,Audit Late/Missing
01206400,Hamilton Technical College,Davenport,IA,,Proprietary,HCM - Cash Monitoring 2,Financial Responsibility
02609200,Vatterott College,Des Moines,IA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03607400,Total Look School of Cosmetology and Massage Therapy,Cresco,IA,,Proprietary,HCM - Cash Monitoring 2,Accreditation Problems
00170300,Kendall College,Chicago,IL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00171700,MacMurray College,Jacksonville,IL,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00175600,Shimer College,Chicago,IL,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00175800,Southern Illinois University at Carbondale,Carbondale,IL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00825900,Educators of Beauty College of Cosmetology,Sterling,IL,,Proprietary,HCM - Cash Monitoring 1,Other -CIO Problems (Eligibility)
00947500,Educators of Beauty College of Cosmetology,La Salle,IL,,Proprietary,HCM - Cash Monitoring 1,Other -CIO Problems (Eligibility)
01181000,Taylor Business Institute,Chicago,IL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
01258400,Illinois Institute of Art (The),Chicago,IL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02055200,Harrington College of Design,Chicago,IL,,Proprietary,HCM - Cash Monitoring 1,Administrative Capability
02069300,Vatterott College,Quincy,IL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02113600,American InterContinental University,Schaumburg,IL,,Proprietary,HCM - Cash Monitoring 1,Administrative Capability
02160300,International Academy of Design and Technology,Chicago,IL,,Proprietary,HCM - Cash Monitoring 1,Administrative Capability
02313900,Westwood College - O'Hare Airport,Chicago,IL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02352200,Le Cordon Bleu College of Culinary Arts in Chicago,Chicago,IL,,Proprietary,HCM - Cash Monitoring 1,Administrative Capability
03002000,Hairmasters Institute of Cosmetology,Bloomington,IL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03079200,Westwood College - DuPage,Woodridge,IL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03082900,Rosel School of Cosmetology,Chicago,IL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03099700,Cains Barber College,Chicago,IL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04117600,Larry's Barber College,Chicago,IL,,Proprietary,HCM - Cash Monitoring 2,Audit Late/Missing
00178700,Bethel College,Mishawaka,IN,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00732900,ITT Technical Institute,Indianapolis,IN,,Proprietary,HCM - Cash Monitoring 1,Audit Late/Missing
00736200,Medtech College,Indianapolis,IN,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00793800,Lincoln College of Technology,Indianapolis,IN,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00961300,Merrillville Beauty College,Merrillville,IN,,Proprietary,HCM - Cash Monitoring 2,Other -CIO Problems (Eligibility)
02308900,Masters of Cosmetology College,Fort Wayne,IN,,Proprietary,HCM - Cash Monitoring 2,Administrative Capability
04171700,Avant Gard The School,avon,IN,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00190400,Bethany College,Lindsborg,KS,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00190500,Bethel College,North Newton,KS,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00190800,Central Christian College of Kansas,McPherson,KS,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00192100,Highland Community College,Highland,KS,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00675500,Brown Mackie College (The),Salina,KS,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00703200,MidAmerica Nazarene University,Olathe,KS,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00833200,Marinello School of Beauty,Manhattan,KS,,Proprietary,HCM - Cash Monitoring 2,Program Review
01050300,Wichita Technical Institute,Wichita,KS,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02590900,Wright Career College,Overland Park,KS,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
02603100,Crave Beauty Academy,Wichita,KS,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03450300,Marinello School of Beauty,Topeka,KS,,Proprietary,HCM - Cash Monitoring 2,Program Review
04179600,Entourage Institute of Beauty and Esthetics,Lenexa,KS,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00196900,Kentucky Wesleyan College,Owensboro,KY,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00198300,St. Catharine College,St. Catharine,KY,,"Private, Nonprofit",HCM - Cash Monitoring 2,Program Review - Severe Findings
01172500,Collins School of Cosmetology,Middlesboro,KY,,Proprietary,HCM - Cash Monitoring 2,Accreditation Problems
03026200,Head's West Kentucky Beauty College,Madisonville,KY,,Proprietary,HCM - Cash Monitoring 2,Financial Responsibility
02536400,Louisiana Academy of Beauty,Eunice,LA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02601000,American School of Business,Shreveport,LA,,Proprietary,HCM - Cash Monitoring 1,Audit Late/Missing
03294300,Blue Cliff College,Metairie,LA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03480300,Fortis College,Baton Rouge,LA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03810500,Mid City College,Baton Rouge,LA,,Proprietary,HCM - Cash Monitoring 2,Audit Late/Missing
04225900,Setting the Standard Barbering and Natural Hair Academy,Shreveport,LA,,Proprietary,HCM - Cash Monitoring 1,Audit Late/Missing
00214500,Eastern Nazarene College,Quincy,MA,,"Private, Nonprofit",HCM - Cash Monitoring 2,Program Review - Severe Findings
00220100,Pine Manor College,Chestnut Hill,MA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00687300,Marian Court College,Swampscott,MA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00748600,New England Institute of Art (The),Brookline,MA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
01193000,Roxbury Community College,Boston,MA,,Public,HCM - Cash Monitoring 2,Administrative Capability
02063000,Montserrat College of Art,Beverly,MA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
02338200,Bay State School of Technology,Canton,MA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03248300,Boston Baptist College,Boston,MA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
03965300,New England College of Business and Finance,Boston,MA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04116900,DiGrigoli School of Cosmetology,West Springfield,MA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00793600,Lincoln College of Technology,Columbia,MD,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
01031900,Fortis Institute,Towson,MD,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02578400,Maryland University of Integrative Health,Laurel,MD,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
03064900,Aaron's Academy of Beauty,Waldorf,MD,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03493300,All-State Career,Baltimore,MD,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03822400,Maple Springs Baptist Bible College & Seminary,Capitol Heights,MD,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
03937300,Yeshiva College of the Nation's Capital,Silver Spring,MD,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
04139700,Frederick School of Cosmetology,Frederick,MD,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04141600,Omega Studios' School of Applied Recording Arts & Sciences,Rockville,MD,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02104400,Spa Tech Institute,Westbrook,ME,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
00228800,Rochester College,Rochester Hills,MI,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00231100,Kuyper College,Grand Rapids,MI,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00232200,Finlandia University,Hancock,MI,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
03284300,Michigan Jewish Institute,West Bloomfield,MI,,"Private, Nonprofit",HCM - Cash Monitoring 2,Administrative Capability
04002400,Ecumenical Theological Seminary,Detroit,MI,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
04055300,Creative Hair School of Cosmetology,Flint,MI,,Proprietary,HCM - Cash Monitoring 1,Provisional Certification
00233200,Anoka-Ramsey Community College,Coon Rapids,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00233500,Riverland Community College,Austin,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00233600,Bemidji State University,Bemidji,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00233900,Central Lakes College,Brainerd,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00235000,Vermilion Community College,Ely,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00235500,Hibbing Community College,Hibbing,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00235600,Itasca Community College,Grand Rapids,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00236000,"Minnesota State University, Mankato",Mankato,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00236200,Minneapolis Community and Technical College,Minneapolis,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00236600,Crossroads College,Rochester,MN,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00236700,Minnesota State University Moorhead,Moorhead,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00237000,North Hennepin Community College,Brooklyn Park,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00237300,Rochester Community and Technical College,Rochester,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00237500,Southwest Minnesota State University,Marshall,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00237700,St. Cloud State University,Saint Cloud,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00238500,Northland Community and Technical College,Thief River Falls,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00239300,Minnesota State College - Southeast Technical,Winona,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00239400,Winona State University,Winona,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00400900,Mesabi Range College,Virginia,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00525200,Ridgewater College,Willmar,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00526300,Minnesota West Community and Technical College,Granite Falls,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00553300,Saint Paul College - A Community & Technical College,St Paul,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00553400,St. Cloud Technical and Community College,St Cloud,MN,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
