System Name,Postsecondary Education Complaint System,,,,,,,,,,,,
Report Title,Complaint Cases Summary,,,,,,,,,,,,
Report Date,03/30/2016,,,,,,,,,,,,
,,,,,,,,,,,,,
Date Range (min),01/01/2014,,,,,,,,,,,,
Date Range (max),03/30/2016,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Case ID,Level,Status,Case Owner,School,OPEID,Facility Code,School City,School State,Submitted,Closed,Closed Reason,Issues,Education Benefits
VA1085,Level 3,Closed,"Holbrook, Robert","MOORE AND CRIMMINS, INC.",,20532614,Logansport,IN,1/30/14,9/30/14,Information Only," Recruiting/Marketing Practices, Other"," Veterans Retraining Assistance Program (VRAP), Post-9/11 GI Bill (Ch. 33), Montgomery GI Bill - Active Duty (MGIB) (Ch. 30), Montgomery GI Bill - Selected Reserve (MGIB-SR) (Ch. 1606), Reserve Educational Assistance Program (REAP) (Ch. 1607), Survivors &amp; Dependents Assistance  (DEA) (Ch. 35), Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)"
VA1086,Level 3,Closed,"Holbrook, Robert",VIRGINIA SCHOOL OF PET GROOMING,,25033846,MANASSAS PARK,VA,1/30/14,9/30/14,Information Only," Recruiting/Marketing Practices, Other"," Veterans Retraining Assistance Program (VRAP), Post-9/11 GI Bill (Ch. 33), Montgomery GI Bill - Active Duty (MGIB) (Ch. 30), Montgomery GI Bill - Selected Reserve (MGIB-SR) (Ch. 1606), Reserve Educational Assistance Program (REAP) (Ch. 1607), Survivors &amp; Dependents Assistance  (DEA) (Ch. 35), Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)"
VA1087,Level 3,Closed,"Holbrook, Robert",COLORTEC TECHNICAL TRAINING INSTITUTE,,25146922,SAGINAW,MI,1/30/14,9/30/14,Information Only," Recruiting/Marketing Practices, Other"," Veterans Retraining Assistance Program (VRAP), Post-9/11 GI Bill (Ch. 33), Montgomery GI Bill - Active Duty (MGIB) (Ch. 30), Montgomery GI Bill - Selected Reserve (MGIB-SR) (Ch. 1606), Reserve Educational Assistance Program (REAP) (Ch. 1607), Survivors &amp; Dependents Assistance  (DEA) (Ch. 35), Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)"
VA1088,Level 3,Closed,"Holbrook, Robert",AVIATION INSTITUTE OF MAINTENANCE,,24850046,CHESAPEAKE,VA,1/30/14,3/24/14,Resolved, Financial Issues (e.g. Tuition/Fee charges), Post-9/11 GI Bill (Ch. 33)
VA1089,Level 3,Closed,"Holbrook, Robert",AVI CAREER TRAINING,,25035246,GREAT FALLS,VA,1/30/14,9/30/14,Resolved," Recruiting/Marketing Practices, Other"," Veterans Retraining Assistance Program (VRAP), Post-9/11 GI Bill (Ch. 33), Montgomery GI Bill - Active Duty (MGIB) (Ch. 30), Montgomery GI Bill - Selected Reserve (MGIB-SR) (Ch. 1606), Reserve Educational Assistance Program (REAP) (Ch. 1607), Survivors &amp; Dependents Assistance  (DEA) (Ch. 35), Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)"
VA1090,Level 3,Closed,"Holbrook, Robert",WESTWOOD COLLEGE /FORT WORTH,,21040143,FORT WORTH,TX,1/30/14,9/30/14,Information Only," Recruiting/Marketing Practices, Other"," Veterans Retraining Assistance Program (VRAP), Post-9/11 GI Bill (Ch. 33), Montgomery GI Bill - Active Duty (MGIB) (Ch. 30), Montgomery GI Bill - Selected Reserve (MGIB-SR) (Ch. 1606), Reserve Educational Assistance Program (REAP) (Ch. 1607), Survivors &amp; Dependents Assistance  (DEA) (Ch. 35), Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)"
VA1091,Level 3,Closed,"Holbrook, Robert",MIAMI-DADE COLLEGE-NORTH CAMPUS,00150600,11839110,MIAMI,FL,1/30/14,7/1/14,Resolved," Recruiting/Marketing Practices, Change in degree plan/requirements"," Veterans Retraining Assistance Program (VRAP), Montgomery GI Bill - Active Duty (MGIB) (Ch. 30), Federal Financial Aid e.g. Pell Grant and Federal Student Loans"
VA1092,Level 3,Closed,"Holbrook, Robert",UNIVERSITY OF DAYTON,00312700,31006335,DAYTON,OH,1/30/14,2/11/14,Invalid, Student Loans, Post-9/11 GI Bill (Ch. 33)
VA1093,Level 3,Closed,"Holbrook, Robert",Z,,00000000,,TX,1/30/14,3/5/14,Invalid, Other, Post-9/11 GI Bill (Ch. 33)
VA1094,Level 3,Closed,"Holbrook, Robert",WESTWOOD COLLEGE-HOUSTON SOUTH,,21039743,HOUSTON,TX,1/30/14,9/30/14,Information Only," Recruiting/Marketing Practices, Other"," Veterans Retraining Assistance Program (VRAP), Post-9/11 GI Bill (Ch. 33), Montgomery GI Bill - Active Duty (MGIB) (Ch. 30), Montgomery GI Bill - Selected Reserve (MGIB-SR) (Ch. 1606), Reserve Educational Assistance Program (REAP) (Ch. 1607), Survivors &amp; Dependents Assistance  (DEA) (Ch. 35), Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)"
VA1095,Level 3,Closed,"Holbrook, Robert",THE CITADEL,00342300,11001240,CHARLESTON,SC,1/30/14,2/20/14,Invalid, Other, Post-9/11 GI Bill (Ch. 33)
VA1097,Level 3,Closed,"Holbrook, Robert",WESTWOOD COLLEGE/DALLAS,,21039643,DALLAS,TX,1/30/14,9/30/14,Information Only," Recruiting/Marketing Practices, Other"," Veterans Retraining Assistance Program (VRAP), Post-9/11 GI Bill (Ch. 33), Montgomery GI Bill - Active Duty (MGIB) (Ch. 30), Montgomery GI Bill - Selected Reserve (MGIB-SR) (Ch. 1606), Reserve Educational Assistance Program (REAP) (Ch. 1607), Survivors &amp; Dependents Assistance  (DEA) (Ch. 35), Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)"
VA1099,Level 3,Closed,"Holbrook, Robert",SAN DIEGO MESA COLLEGE,00127500,14989405,SAN DIEGO,CA,1/30/14,11/12/14,Resolved," Quality of Education, Grade Policy, Other", Federal Financial Aid e.g. Pell Grant and Federal Student Loans
VA1102,Level 3,Closed,"Holbrook, Robert",Z,,00000000,,,1/30/14,2/11/14,Invalid, Other, Post-9/11 GI Bill (Ch. 33)
VA1104,Level 3,Closed,"Holbrook, Robert",MONTCALM COMMUNITY COLLEGE,00229500,14919422,SIDNEY,MI,1/30/14,2/11/14,Invalid, Other, Post-9/11 GI Bill (Ch. 33)
VA1106,Level 3,Closed,"Holbrook, Robert",DEL MAR COLLEGE,00356300,14907443,CORPUS CHRISTI,TX,1/30/14,2/11/14,Invalid, Other, Montgomery GI Bill - Active Duty (MGIB) (Ch. 30)
VA1109,Level 3,Closed,"Holbrook, Robert",PIMA MEDICAL INSTITUTE,02217106,24001405,CHULA VISTA,CA,1/30/14,11/12/14,Resolved," Student Loans, Quality of Education, Other"," Veterans Retraining Assistance Program (VRAP), Federal Financial Aid e.g. Pell Grant and Federal Student Loans"
VA1110,Level 3,Closed,"Holbrook, Robert",EVEREST UNIVERSITY-SOUTH ORLANDO CAMPUS,00149901,21819110,ORLANDO,FL,1/30/14,2/11/14,Invalid," Other, Refund Issues, Financial Issues (e.g. Tuition/Fee charges)", Veterans Retraining Assistance Program (VRAP)
VA1113,Level 3,Closed,"Holbrook, Robert",PIMA COMMUNITY COLLEGE,00726600,14904403,TUCSON,AZ,1/30/14,6/19/14,Information Only," Quality of Education, Transfer of Credits, Change in degree plan/requirements, Release of Transcripts, Refund Issues", Post-9/11 GI Bill (Ch. 33)
VA1114,Level 3,Closed,"Holbrook, Robert",Z,,00000000,,,1/30/14,2/11/14,Invalid, Other, Post-9/11 GI Bill (Ch. 33)
VA1115,Level 3,Closed,"Griffin, Bridget",CERRITOS COLLEGE,00116100,14968405,NORWALK,CA,1/30/14,2/3/15,Resolved, Other, Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)
VA1117,Level 2,Closed,"Upshaw, Ladina",DEPARTMENT OF DEFENSE FORT JACSKON SC,,,COLUMBIA,SC,1/30/14,2/24/14,Invalid," Recruiting/Marketing Practices, Other", Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)
VA1118,Level 3,Closed,"Holbrook, Robert",ITT TECHNICAL INSTITUTE PORTLAND,00732969,21901137,Portland,OR,1/30/14,3/24/14,Resolved," Quality of Education, Transfer of Credits, Financial Issues (e.g. Tuition/Fee charges)", Post-9/11 GI Bill (Ch. 33)
VA1120,Level 3,Closed,"Holbrook, Robert",PIMA MEDICAL INSTITUTE - TUCSON,,24912403,TUCSON,AZ,1/30/14,5/28/14,Resolved," Recruiting/Marketing Practices, Student Loans, Quality of Education, Other, Financial Issues (e.g. Tuition/Fee charges)", Veterans Retraining Assistance Program (VRAP)
VA1121,Level 3,Closed,"Holbrook, Robert",SOUTHWESTERN COMMUNITY COLLEGE,00846600,14929433,SYLVA,NC,1/30/14,2/11/14,Invalid, Other, Veterans Retraining Assistance Program (VRAP)
VA1122,Level 3,Closed,"Holbrook, Robert",EASTERN MICHIGAN UNIVERSITY,00225900,11998122,YPSILANTI,MI,1/30/14,2/11/14,Invalid, Other, Post-9/11 GI Bill (Ch. 33)
VA1123,Level 3,Closed,"Holbrook, Robert",UNIVERSITY OF MARYLAND UNIVERSITY COLLEGE,01164400,11801720,ADELPHI,MD,1/30/14,1/5/15,Invalid, Quality of Education, Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)
VA1124,Level 3,Closed,"Holbrook, Robert",WASHINGTON COUNTY CAREER CENTER,03034200,15537235,MARIETTA,OH,1/30/14,2/11/14,Invalid, Other, Veterans Retraining Assistance Program (VRAP)
VA1125,Level 3,Closed,"Holbrook, Robert",SOUTHERN OREGON UNIVERSITY,00321900,11932137,Ashland,OR,1/30/14,2/11/14,Invalid, Other, Post-9/11 GI Bill (Ch. 33)
VA1127,Level 3,Closed,"Holbrook, Robert",HILLSBOROUGH COMMUNITY COLLEGE-DALE MABRY,00787000,14805110,TAMPA,FL,1/30/14,6/12/14,Resolved, Other, Post-9/11 GI Bill (Ch. 33)
VA1128,Level 3,Closed,"Holbrook, Robert",COLUMBUS STATE UNIVERSITY,00156100,11927111,Columbus,GA,1/30/14,6/2/14,Resolved," Other, Financial Issues (e.g. Tuition/Fee charges)", Post-9/11 GI Bill (Ch. 33)
VA1129,Level 3,Closed,"Holbrook, Robert",ECPI UNIVERSITY/RALEIGH,01019800,24908433,RALEIGH,NC,1/30/14,2/11/14,Invalid, Other," Veterans Retraining Assistance Program (VRAP), Federal Financial Aid e.g. Pell Grant and Federal Student Loans"
VA1130,Level 3,Closed,"Holbrook, Robert",BRANDMAN UNIVERSITY @ LACEY,04161800,31437547,LACEY,WA,1/30/14,2/11/14,Invalid," Other, Financial Issues (e.g. Tuition/Fee charges)", Post-9/11 GI Bill (Ch. 33)
VA1131,Level 3,Closed,"Holbrook, Robert",STEVENSON UNIVERSITY,00210700,31003620,STEVENSON,MD,1/30/14,2/11/14,Invalid, Other, Post-9/11 GI Bill (Ch. 33)
VA1132,Level 3,Closed,"Holbrook, Robert",PIMA COMMUNITY COLLEGE,00726600,14904403,TUCSON,AZ,1/30/14,2/11/14,Invalid, Other, Veterans Retraining Assistance Program (VRAP)
VA1133,Level 3,Closed,"Holbrook, Robert",BATES TECHNICAL COLLEGE,00530600,14956447,TACOMA,WA,1/30/14,2/11/14,Invalid, Other, Veterans Retraining Assistance Program (VRAP)
VA1134,Level 3,Closed,"Holbrook, Robert",LEON KOZMINSKI ACADEMY OF ENTREPRENEURSHIP AND MANAGEMENT,,31100690,30-301 WARSAW,,1/30/14,2/11/14,Invalid, Financial Issues (e.g. Tuition/Fee charges), Post-9/11 GI Bill (Ch. 33)
VA1135,Level 3,Closed,"Banks, Ursula",HERZING UNIVERSITY,00962100,21000749,MADISON,WI,1/30/14,3/25/14,Invalid, Quality of Education, Post-9/11 GI Bill (Ch. 33)
VA1136,Level 3,Closed,"Griffin, Bridget",CYBERTEX INSTITUTE OF TECH AUSTIN,,25083643,AUSTIN,TX,1/30/14,3/11/15,Resolved," Recruiting/Marketing Practices, Student Loans, Quality of Education, Post-graduation Job Opportunities, Change in degree plan/requirements, Refund Issues, Financial Issues (e.g. Tuition/Fee charges)", Post-9/11 GI Bill (Ch. 33)
VA1137,Level 3,Closed,"Holbrook, Robert",DIXIE STATE UNIVERSITY,00367100,11910144,ST GEORGE,UT,1/30/14,2/11/14,Invalid, Other, Veterans Retraining Assistance Program (VRAP)
VA1138,Level 3,Closed,"Holbrook, Robert",Z,,00000000,,,1/30/14,2/25/14,Invalid, Other, Post-9/11 GI Bill (Ch. 33)
VA1140,Level 3,Closed,"Holbrook, Robert",UNIVERSITY OF TEXAS AT TYLER,01116300,11019543,TYLER,TX,1/30/14,2/25/14,Invalid, Other, Montgomery GI Bill - Active Duty (MGIB) (Ch. 30)
VA1143,Level 3,Closed,"Holbrook, Robert",UNIVERSITY OF CENTRAL FLORIDA,00395400,11955110,ORLANDO,FL,1/30/14,2/25/14,Invalid, Other," Post-9/11 GI Bill (Ch. 33), Montgomery GI Bill - Active Duty (MGIB) (Ch. 30)"
VA1144,Level 3,Closed,"Holbrook, Robert",ELIZABETHTOWN COMMUNITY & TECHNICAL COLLEGE,00199100,14952417,Elizabethtown,KY,1/30/14,3/24/14,Resolved, Other, Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)
VA1145,Level 3,Closed,"Holbrook, Robert",CENTRAL PIEDMONT COMMUNITY COLLEGE,00291500,14912433,CHARLOTTE,NC,1/30/14,6/2/14,Resolved, Other, Veterans Retraining Assistance Program (VRAP)
VA1147,Level 3,Closed,"Banks, Ursula",ANNE ARUNDEL COMMUNITY COLLEGE,00205800,14902420,ARNOLD,MD,1/30/14,2/5/15,Resolved," Recruiting/Marketing Practices, Other", Post-9/11 GI Bill (Ch. 33)
VA1148,Level 3,Closed,"Holbrook, Robert",THE UNIVERSITY OF VIRGINIA'S COLLEGE AT WISE,00374700,11811146,Wise,VA,1/30/14,2/25/14,Invalid, Other, Veterans Retraining Assistance Program (VRAP)
VA1149,Level 3,Closed,"Holbrook, Robert",DELGADO COMMUNITY COLLEGE - WEST BANK,00462500,14800218,NEW ORLEANS,LA,1/30/14,2/25/14,Invalid, Other," Veterans Retraining Assistance Program (VRAP), Montgomery GI Bill - Active Duty (MGIB) (Ch. 30)"
VA1150,Level 3,Closed,"Holbrook, Robert",DARTON STATE COLLEGE,00154300,14910411,Albany,GA,1/30/14,2/25/14,Invalid, Financial Issues (e.g. Tuition/Fee charges)," Montgomery GI Bill - Active Duty (MGIB) (Ch. 30), Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)"
VA1151,Level 3,Closed,"Holbrook, Robert",COLLEGE OF SOUTHERN NEVADA,01036200,11908028,LAS VEGAS,NV,1/30/14,2/27/14,Invalid, Other, Veterans Retraining Assistance Program (VRAP)
VA1152,Level 3,Closed,"Holbrook, Robert",SOUTHWESTERN COMMUNITY COLLEGE,00846600,14929433,SYLVA,NC,1/30/14,2/27/14,Invalid, Financial Issues (e.g. Tuition/Fee charges), Post-9/11 GI Bill (Ch. 33)
VA1154,Level 3,Closed,"Griffin, Bridget",COMPUTER TRAINING INSTITUTE OF CHICAGO,,25071713,CHICAGO,IL,1/30/14,2/12/15,Resolved, Financial Issues (e.g. Tuition/Fee charges), Post-9/11 GI Bill (Ch. 33)
VA1155,Level 3,Closed,"Holbrook, Robert",JAMES H. FAULKNER STATE C.C.,00106000,14001501,BAY MINETTE,AL,1/30/14,2/27/14,Invalid, Financial Issues (e.g. Tuition/Fee charges), Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)
VA1156,Level 3,Closed,"Holbrook, Robert",Z,,00000000,,,1/30/14,2/27/14,Invalid, Other, Post-9/11 GI Bill (Ch. 33)
VA1157,Level 2,Closed,"Upshaw, Ladina",Washington State University,,,Pullman,WA,1/30/14,3/5/14,Invalid," Other, Refund Issues", Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)
VA1158,Level 3,Closed,"Holbrook, Robert",KELLER GRADUATE SCHOOL OF MANAGEMENT - DECATUR,02075413,21803411,Decatur,GA,1/30/14,2/27/14,Invalid, Other, Montgomery GI Bill - Active Duty (MGIB) (Ch. 30)
VA1159,Level 3,Closed,"Holbrook, Robert",HARFORD COMMUNITY COLLEGE,00207500,14906420,BEL AIR,MD,1/30/14,2/27/14,Invalid, Other, Montgomery GI Bill - Active Duty (MGIB) (Ch. 30)
VA1161,Level 3,Closed,"Holbrook, Robert",MERRITT COLLEGE,00126700,14932405,OAKLAND,CA,1/30/14,2/27/14,Invalid, Other, Veterans Retraining Assistance Program (VRAP)
VA1162,Level 2,Closed,"Upshaw, Ladina",PORTLAND STATE UNIVERSITY,00321600,11919137,Portland,OR,1/30/14,3/5/14,Invalid," Other, Refund Issues", Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)
VA1163,Level 3,Closed,"Holbrook, Robert",PALOMAR COLLEGE,00126000,14981405,SAN MARCOS,CA,1/30/14,2/17/15,Resolved, Financial Issues (e.g. Tuition/Fee charges), Post-9/11 GI Bill (Ch. 33)
VA1164,Level 3,Closed,"Holbrook, Robert",MILWAUKEE AREA TECH COLLEGE (MATC),00386600,14907149,MILWAUKEE,WI,1/30/14,6/30/14,Resolved," Post-graduation Job Opportunities, Change in degree plan/requirements, Other, Financial Issues (e.g. Tuition/Fee charges)", Veterans Retraining Assistance Program (VRAP)
VA1165,Level 3,Closed,"Holbrook, Robert",ITT TECHNICAL INSTITUTE/COLUMBIA,00732961,24082440,COLUMBIA,SC,1/30/14,6/30/14,Resolved," Recruiting/Marketing Practices, Quality of Education, Transfer of Credits, Accreditation", Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)
VA1166,Level 3,Closed,"Holbrook, Robert",Z,,00000000,,,1/30/14,2/27/14,Invalid, Other," Veterans Retraining Assistance Program (VRAP), Post-9/11 GI Bill (Ch. 33)"
VA1167,Level 3,Closed,"Holbrook, Robert",WEST VIRGINIA UNIVERSITY,00382700,11800048,MORGANTOWN,WV,1/30/14,6/2/14,Resolved," Quality of Education, Other, Financial Issues (e.g. Tuition/Fee charges)", Post-9/11 GI Bill (Ch. 33)
VA1168,Level 3,Closed,"Holbrook, Robert",UNIVERSITY OF PHOENIX KANSAS CITY,72098830,21124525,KANSAS CITY,MO,1/30/14,2/27/14,Invalid, Other, Post-9/11 GI Bill (Ch. 33)
VA1169,Level 3,Closed,"Holbrook, Robert",SIERRA COLLEGE,00129000,14955105,ROCKLIN,CA,1/30/14,2/27/14,Invalid, Other, Veterans Retraining Assistance Program (VRAP)
VA1170,Level 3,Closed,"Holbrook, Robert",PARIS JUNIOR COLLEGE,00360100,14914443,PARIS,TX,1/30/14,3/24/14,Resolved, Financial Issues (e.g. Tuition/Fee charges), Veterans Retraining Assistance Program (VRAP)
VA1172,Level 3,Closed,"Holbrook, Robert",UNIVERSITY OF PHOENIX (ONLINE),12098850,21907103,PHOENIX,AZ,1/30/14,2/28/14,Invalid, Other, Post-9/11 GI Bill (Ch. 33)
VA1173,Level 3,Closed,"Holbrook, Robert",MIDLANDS TECHNICAL COLLEGE,00399300,14913440,COLUMBIA,SC,1/30/14,6/2/14,Resolved, Other, Veterans Retraining Assistance Program (VRAP)
VA1175,Level 3,Closed,"Griffin, Bridget",EVEREST COLLEGE,02250600,24916025,SPRINGFIELD,MO,1/30/14,3/11/15,No Response," Other, Refund Issues, Financial Issues (e.g. Tuition/Fee charges)", Post-9/11 GI Bill (Ch. 33)
VA1176,Level 3,Closed,"Holbrook, Robert",REMINGTON COLLEGE,02605507,31836464,HONOLULU,HI,1/30/14,5/28/14,Resolved, Financial Issues (e.g. Tuition/Fee charges), Post-9/11 GI Bill (Ch. 33)
VA1177,Level 3,Closed,"Holbrook, Robert",SOUTH UNIVERSITY - TAMPA,01303908,21061010,TAMPA,FL,1/30/14,3/5/14,Invalid, Other, Veterans Retraining Assistance Program (VRAP)
VA1178,Level 3,Closed,"Holbrook, Robert",DEVRY INSTITUTE OF TECHNOLOGY CHICAGO,01072700,21900113,CHICAGO,IL,1/30/14,5/28/14,Resolved," Quality of Education, Transfer of Credits, Accreditation, Post-graduation Job Opportunities"," Post-9/11 GI Bill (Ch. 33), Federal Financial Aid e.g. Pell Grant and Federal Student Loans"
VA1179,Level 3,Closed,"Holbrook, Robert",UNIVERSITY OF MARY,00299200,31000334,BISMARCK,ND,1/30/14,6/2/14,Resolved, Other, Post-9/11 GI Bill (Ch. 33)
VA1180,Level 3,Closed,"Griffin, Bridget","FAIRLEIGH DICKINSON UNIVERSITY, TEANECK CAMPUS",00260700,31803130,Teaneck,NJ,1/30/14,2/6/15,Resolved," Accreditation, Financial Issues (e.g. Tuition/Fee charges)", Post-9/11 GI Bill (Ch. 33)
VA1181,Level 3,Closed,"Holbrook, Robert",AMERICAN COLLEGE OF TECHNOLOGY,04118700,24951025,ST. JOSEPH,MO,1/30/14,3/12/14,Invalid," Recruiting/Marketing Practices, Post-graduation Job Opportunities, Other", Veterans Retraining Assistance Program (VRAP)
VA1182,Level 3,Closed,"Holbrook, Robert",PITT COMMUNITY COLLEGE,00406200,14950433,GREENVILLE,NC,1/30/14,5/28/14,Resolved," Transfer of Credits, Other", Post-9/11 GI Bill (Ch. 33)
VA1183,Level 3,Closed,"Banks, Ursula",PALM BEACH STATE COLLEGE-NORTH CAMPUS PALM BCH GDNS,,14807210,PALM BEACH GARDENS,FL,1/30/14,3/18/14,Invalid," Other, Financial Issues (e.g. Tuition/Fee charges)", Post-9/11 GI Bill (Ch. 33)
VA1186,Level 3,Closed,"Holbrook, Robert",Z,,00000000,,,1/30/14,3/12/14,Invalid, Other, Veterans Retraining Assistance Program (VRAP)
VA1187,Level 3,Closed,"Holbrook, Robert",Z,,00000000,,,1/30/14,3/12/14,Invalid," Student Loans, Financial Issues (e.g. Tuition/Fee charges)", Post-9/11 GI Bill (Ch. 33)
VA1188,Level 3,Closed,"Holbrook, Robert",Z,,00000000,,,1/30/14,3/12/14,Invalid," Change in degree plan/requirements, Other", Montgomery GI Bill - Active Duty (MGIB) (Ch. 30)
VA1189,Level 3,Closed,"Banks, Ursula",ITT TECHNICAL INSTITUTE (NATIONAL CITY),00732981,21831005,NATIONAL CITY,CA,1/30/14,2/5/15,Resolved," Transfer of Credits, Release of Transcripts", Veterans Retraining Assistance Program (VRAP)
VA1190,Level 3,Closed,"Holbrook, Robert",Z,,00000000,,,1/30/14,3/12/14,Invalid, Other, Post-9/11 GI Bill (Ch. 33)
VA1191,Level 3,Closed,"Holbrook, Robert",KAPLAN UNIVERSITY,00458600,21060410,FT. LAUDERDALE,FL,1/30/14,2/18/15,Resolved, Financial Issues (e.g. Tuition/Fee charges), Post-9/11 GI Bill (Ch. 33)
VA1192,Level 3,Closed,"Holbrook, Robert",Z,,00000000,,,1/30/14,3/12/14,Invalid, Other, Montgomery GI Bill - Active Duty (MGIB) (Ch. 30)
VA1193,Level 3,Closed,"Holbrook, Robert",FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE,00764000,14919433,FAYETTEVILLE,NC,1/30/14,7/24/14,Resolved, Financial Issues (e.g. Tuition/Fee charges), Post-9/11 GI Bill (Ch. 33)
